"","code","xmin","ymin","xmax","ymax"
"483","EM-SANF",-0.5558,41.6047,23.6273,58.1629
"484","EUROCULTURE",-104.5528,16.5204,137.5022,61.8586
"485","EUROPHILOSOPHIE",-92.049,-24.0087,141.6917,53.2562
"486","EWEM",2.3571,50.0116,14.4949,65.4305
"487","FAME",-10.6538,38.6405,12.8978,52.8798
"488","GEMMA",-76.4518,35.1773,21.456,55.7457
"489","MARIHE",6.0472,37.9042,118.4074,63.4978
"490","MEDfOR",-11.1393,36.7223,41.7168,47.4064
"491","MITRA",-45.1729,-24.9068,25.6236,53.8969
"492","MSPME",-5.1883,43.4654,22.263,65.8258
"493","MUNDUS MAPP",-3.0873,39.3851,21.0402,55.96
"494","PLANET Europe",-5.1791,49.4816,17.5869,58.1612
"495","SUFONAMA",-6.1239,43.4064,15.0824,57.6761
"496","SUSCOS",-10.4404,38.2048,24.1567,67.5848
"498","WACOMA",-48.330376,-25.944841,123.544,61.9343
