"","code","title","website","uni","country","city","lat","lon","xmin","ymin","xmax","ymax"
"33","EMSHIP"," European Education in Advanced Ship Design","http://www.emship.eu/","University of Liège","Belgium","Liège",50.6325574,5.5796662,-3.5536,42.4056,30.008,56.0924
"34","EMTM"," European Master in Tourism Management","http://www.emtmmaster.net/","University of Southern Denmark","Denmark","Kolding",55.495973,9.4730519,0.8214,39.9794,16.5058,57.496
"35","EPOG"," Master's Course - Economic Policies in the age of Globalisation : knowledge, finance and development","http://www.epog.eu/","University of Paris XIII-Nord","France","Paris",48.856614,2.3522219,-2.3007,-28.2041,30.0473,54.52
"36","EUCOMOR"," European Master in Comparative Morphology","http://www.eucomor.net/","University of Antwerp","Belgium","Antwerp",51.2194475,4.4024643,2.4025,38.8518,18.9252,54.4064
"37","EUROPHOTONICS"," Master in Photonics Engineering, Nanophotonics and Biophotonics","http://www.europhotonics.org/wordpress/","University of Aix-Marseille III Paul Cezanne","France","Marseille",43.296482,5.36978,0.1734,39.3851,27.2797,56.6872
"38","EU4M - EMMC"," EMMC Mechatronic Engineering","http://www.eu4m.eu/","University of Oviedo","Spain","Oviedo",43.3619145,-5.8493887,-7.8494,28.0131,42.9766,59.0051
"39","EUPADRA"," PARLIAMENTARY PROCEDURES AND LEGISLATIVE DRAFTING","http://eupadra.eu/","Free International University of Social Studies","Italy","Rome",41.9027835,12.4963655,-5.7038,38.4168,14.4964,53.5074
"40","GroundwatCH"," Groundwater and Global Change - Impacts and Adaptation","http://www.groundwatermaster.eu/","Technical Institute of Lisbon","Portugal","Lisbon",38.7222524,-9.1393366,-11.1393,36.7223,15.7373,54.0116
"41","GeoTech"," Master of Science in Geospatial Technologies","http://mastergeotech.info/","University of Münster","Germany","Münster",51.9606649,7.6261347,-11.1393,36.7223,9.6261,53.9607
"42","GLOBED","GLOBED Erasmus Mundus Joint Master Degree on Education Policies for Global Development","http://globed.eu/","Autonomous University of Barcelona","Spain","Barcelona",41.3850639,2.1734035,0.1734,33.8956,16.4869,61.9139
"43","IMAE"," International Master in Applied Ecology","http://www.emmc-imae.org/","University of Poitiers","France","Poitiers",46.580224,0.340375,-53.2177,-32.0346,12.1228,56.3233
"44","IMAESC"," International Master in Adult Education for Social Change","http://www.gla.ac.uk/postgraduate/erasmusmundus/imaesc/","University of Glasgow","UK","Glasgow",55.864237,-4.251806,-6.2518,33.8956,26.7536,61.437
"45","IMFSE"," International Master of Science in Fire Safety Engineering","http://www.imfse.ugent.be/","Ghent University","Belgium","Ghent",51.0543422,3.7174243,-5.1883,49.0543,15.191,57.9533
"46","IMIM"," International Master in Industrial Management","http://www.imim.polimi.it/","Technical University of Madrid","Spain","Madrid",40.4167754,-3.7037902,-5.7038,38.4168,13.582,57.9533
"47","IMIM Med"," International Master in Innovative Medicine","http://www.innovativemedicine.eu/","University of Groningen","The Netherlands","Groningen",53.2193835,6.5665018,4.5665,47.3988,19.6389,61.8586
"48","IMQP"," Erasmus Mundus Master in Quaternary and Prehistory","https://sites.google.com/a/unife.it/quaternary-prehistory/","University of Ferrara","Italy","Ferrara",44.8381237,11.619787,-10.4043,37.6052,13.6198,50.8566
"49","IMRCEES"," International Masters in Russian, Central and East European Studies","http://www.gla.ac.uk/postgraduate/erasmusmundus/imrcees/","Jagiellonian University","Poland","Krakow",50.0646501,19.9449799,-6.2518,39.7151,78.8512,60.3776
"50","IMRD"," International Master of Science in Rural Development","http://www.imrd.ugent.be/","Slovak University of Agriculture in Nitra","Slovakia","Nitra",48.3061414,18.076376,-3.6778,41.7228,20.0764,54.52
"51","KINOEYES | KEM"," The European Movie Masters","http://www.kinoeyes.eu/","Lusofona University","Portugal","Lisbon",38.7222524,-9.1393366,-11.1393,36.7223,26.7536,61.437
"52","LCT"," European Masters Program in Language and Communication Technologies","http://www.lct-master.org/","The University of the Basque Country","Spain","San Sebastian",43.318334,-1.9812313,-3.9812,33.8956,16.4869,55.2194
"53","LIVE"," Leading International Vaccinology Education","http://live.univ-lyon1.fr/","University of Antwerp","Belgium","Antwerp",51.2194475,4.4024643,0.1734,39.3851,6.8357,53.2194
"54","MAIA"," Medical Imaging and Applications EMJMD","http://www.maiamaster.org/","University of Girona","Spain","Girona",41.9794005,2.8214264,0.8214,39.4908,15.8334,49.322
"55","MAMASELF"," Master in material science exploring European large scale facilities","http://www.mamaself.eu/","University of Rennes 1","France","Rennes",48.117266,-1.6777926,-3.6778,41.6108,13.582,50.1351
"56","MATHMODS"," Mathematical Modelling in Engineering: Theory, Numerics, Applications","http://www.mathmods.eu/","University of L'Aquila","Italy","L'Aquila",42.3498479,13.3995091,0.1734,39.3851,20.6466,56.352
"57","MCM"," Master of Science in Computational Mechanics","http://www.cimne.com/cm-master/","Swansea University","UK","Swansea",51.62144,-3.943646,-5.9436,39.3851,11.1829,53.6214
"58","ME3"," European Joint Masters in Management and Engineering of Environment and Energy","http://www.emn.fr/z-de/me3-site/","Queen's University Belfast","UK","Belfast",54.597285,-5.93012,-7.9301,38.4168,21.0402,61.3293
"59","Media AC","Media Arts Cultures","http://www.mediaartscultures.eu/","Danube University Krems","Austria","Krems an der Donau",48.40999,15.60384,7.9217,20.3964,116.1095,59.0488
"60","MEEES"," Masters in Earthquake Engineering and Engineering Seismology","http://www.meees.org/","Institute for Advanced Study/University of Pavia - UME School, Italy","Italy","Pavia",45.1847248,9.1582069,3.7245,36.2466,34.8597,54.401
"61","MEGEI"," MA Economics of Globalisation and European Integration","http://www.ua.ac.be/egei","Antwerpen University","Belgium","Antwerp",51.2194475,4.4024643,-49.8822,-17.7942,18.8719,55.0027
"62","MEME"," Erasmus Mundus Master Programme in Evolutionary Biology","http://www.evobio.eu/","University of Groningen","The Netherlands","Groningen",53.2193835,6.5665018,-73.1097,40.3736,19.6389,61.8586
"63","MEREMMC"," European MSc in Marine Environment and Resources","http://www.merconsortium.eu/","University of Southampton","UK","Southampton",50.9097004,-1.4043509,-4.9901,41.3267,7.5591,52.9097
"64","MFAMILY"," European Master in Social Work with Families and Children","http://www.mfamily.eu/","University Institute of Lisbon","Portugal","Lisbon",38.7222524,-9.1393366,-11.1393,-1.6524,34.5825,60.97
"65","MIM"," Crossing the Mediterranean: towards investment and integration","http://www.mastermimplus.eu/","Autonomous University of Barcelona","Spain","Barcelona",41.3850639,2.1734035,0.1734,39.3851,14.3155,47.4408
"66","MONABIP"," Molecular Nano- and Biophotonics","http://www.monabiphot.ens-cachan.fr/","Cachan Normal Superior University","France","Cachan",48.791855,2.331433,-5.7038,38.4168,19.0385,53.1079
"67","MUNDUS JOURNALISM"," Erasmus Mundus Masters Journalism, Media and Globalisation","http://www.mundusjournalism.com/","University of Amsterdam","The Netherlands","Amsterdam",52.3702157,4.8951679,-5.9436,49.5074,11.9937,55.5511
"68","MUNDUS URBANO"," Master of Science in International Cooperation and Urban Development","http://www.mundus-urbano.eu/","University of Grenoble- Alpes","France","Grenoble",45.188529,5.724524,0.1734,39.3851,14.4964,51.8728
"69","PERCCOM"," PERvasive Computing & COMmunications for Sustainable Development","http://perccom.univ-lorraine.fr/","Lulea University of Technology","Sweden","Lulea",65.584819,22.1567026,-1.6649,46.6921,30.1897,67.5848
"70","PlantHealth"," European Master degree in Plant Health in Sustainable Cropping Systems","http://planthealth.upv.es/","Technical University of Valencia","Spain","Valencia",39.4699075,-0.3762881,-3.6778,37.4699,13.8768,53.5413
"71","QEM"," Models and Methods of Quantitative Economics","http://erasmusmundus-qem.univ-paris1.fr/","Bielefeld University","Germany","Bielefeld",52.0302285,8.5324708,0.1734,39.3851,14.3155,54.0302
"72","SPACEMASTER"," EMMC in Space Science and Technology","http://www.spacemaster.eu/","Lulea University of Technology","Sweden","Lulea",65.584819,22.1567026,-2.6087,33.6895,141.6917,67.5848
"73","SSI"," Joint International Master in Smart Systems Integration","http://ssi-master.eu/","Heriot Watt University","UK","Edinburgh",55.953252,-3.188267,-5.1883,45.4979,21.0402,61.1708
