X,Y,field_1,city,course1,course2,course3,course4,course5,course6,course7,course8,course9,course10,course11,course12,course13,course14,course15,course16,lon,lat,website1,website2,website3,website4,website5,website6,website7,website8,website9,website10,website11,website12,website13,website14,website15,website16,code,title
5.3220544,60.3912628,18,Bergen,EMSD,EMQAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.3220544,60.3912628,http://www.europeansystemdynamics.eu/,http://www.emqal.org/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bergen,Bergen
13.404954,52.5200066,19,Berlin,EPOG,IMRD,IT4BI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.404954,52.5200066,http://www.epog.eu/,http://www.imrd.ugent.be/,http://it4bi.univ-tours.fr/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Berlin,Berlin
11.7537327,51.7833579,20,Bernburg,BIFTEC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.7537327,51.7833579,http://www.fet.kuleuven.be/biftec,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bernburg,Bernburg
6.02956865709876,47.2123199389988,21,"Besançon
",EU4M - EMMC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.0241,47.2378,http://www.eu4m.eu/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Besançon
","Besançon
"
8.5324708,52.0302285,22,Bielefeld,QEM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5324708,52.0302285,http://erasmusmundus-qem.univ-paris1.fr/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bielefeld,Bielefeld
-2.9349852,43.2630126,23,Bilbao,EUROCULTURE,EM HRPP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.9349852,43.2630126,https://www.euroculturemaster.eu/,http://ws1.roehampton.ac.uk/admissions/erasmusmundus/hrp/index.html,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bilbao,Bilbao
11.3426163,44.494887,24,Bologna,ChIR,CLE,EMLE,ASC,GEMMA,WACOMA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.3426163,44.494887,http://www.emmcchir.org/,http://www.cle.unibo.it/site/,http://www.emle.org/,http://www.master-asc.org/,http://masteres.ugr.es/gemma/,"http://erasmusmundus.uca.es/en/content,3,erasmus-mundus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bologna,Bologna
11.3547582,46.4982953,25,Bolzano,EMSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.3547582,46.4982953,http://em-se.eu/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bolzano,Bolzano
7.0982068,50.73743,26,Bonn,EUROPHILOSOPHIE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.0982068,50.73743,http://europhilomem.hypotheses.org/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bonn,Bonn
-0.57918,44.837789,27,Bordeaux,VINIFERA,MEREMMC,WINTOUR,FAME,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.57918,44.837789,http://vinifera-euromaster.eu/,http://www.merconsortium.eu/,http://www.wintour-master.eu/en_index/,http://www.fame-master.com/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bordeaux,Bordeaux
-8.4265071,41.5454714,28,Braga,EMLex ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.4265071,41.5454714,http://www.emlex.phil.uni-erlangen.de/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Braga,Braga
-47.8821658,-15.7942287,29,Brasilia,MEGEI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-47.8821658,-15.7942287,http://www.ua.ac.be/egei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brasilia,Brasilia
153.0251235,-27.4697707,30,Brisbane,TROPIMUNDO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153.0251235,-27.4697707,http://www.tropimundo.eu/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brisbane,Brisbane
