	variable	value	citibike_station_id	label
518	13	0.54	174	E 25 St & 1 Ave
541	13	1.85	195	Liberty St & Broadway
560	13	16.34	212	W 16 St & The High Line
579	13	51.63	223	W 13 St & 7 Ave
618	13	4.9	224	Spruce St & Nassau St
645	13	16.12	225	W 14 St & The High Line
672	13	3.27	228	E 48 St & 3 Ave
695	13	12.09	229	Great Jones St
717	13	0	236	St Marks Pl & 2 Ave
745	13	0	237	E 11 Street & 2 Avenue
771	13	0.11	238	Bank St & Washington St
794	13	0.44	247	Perry St & Bleecker St
821	13	7.41	248	Laight St & Hudson St
849	13	25.69	249	Harrison St & Hudson St
883	13	1.53	250	Lafayette St & Jersey St
903	13	11.55	251	Mott St & Prince St
930	13	2.29	252	MacDougal St & Washington Sq
960	13	1.74	253	W 13 St & 5 Ave
979	13	0.44	254	W 11 St & 6 Ave
997	13	10.89	257	Lispenard St & Broadway
1020	13	13.18	259	South St & Whitehall St
1043	13	7.45	260	Broad St & Bridge St
1075	13	1.31	263	Elizabeth St & Hester St
1100	13	20.15	264	Maiden Ln & Pearl St
1133	13	0.65	265	Stanton St & Chrystie St
1169	13	0.22	266	Avenue D & E 8 St
1196	13	18.95	268	Howard St & Centre St
1220	13	11.55	276	Duane St & Greenwich St
1241	13	1.09	280	E 10 St & 5 Ave
1265	13	2.29	281	Grand Army Plaza & Central Park S
1295	13	1.74	284	Greenwich Ave & 8 Ave
1313	13	2.07	285	Broadway & E 14 St
1344	13	0	291	Madison St & Montgomery St
1372	13	27.23	293	Lafayette St & E 8 St
1393	13	0.22	295	Pike St & E Broadway
1422	13	1.53	296	Division St & Bowery
1449	13	0	297	E 15 St & 3 Ave
1480	13	0	300	Cooper Square & E 7 St
1498	13	0	301	E 2 St & Avenue B
1532	13	0	302	Avenue D & E 3 St
1557	13	15.14	303	Mercer St & Spring St
1579	13	0.22	304	Broadway & Battery Pl
1588	13	4.14	305	E 58 St and 3 Ave
1628	13	10.89	306	Cliff St & Fulton St
1651	13	0.22	307	Canal St & Rutgers St
1688	13	1.09	308	St James Pl & Oliver St
1714	13	13.73	309	Murray St & West St
1732	13	0.22	311	Norfolk St & Broome St
1759	13	18.95	312	Allen St & E Houston St
1778	13	16.01	315	South St & Gouverneur Ln
1805	13	2.83	316	Fulton St & William St
1832	13	0	317	E 6 St & Avenue B
1847	13	5.34	319	Park Pl & Church St
1887	13	4.68	320	Church St & Leonard St
1910	13	0	325	E 19 St & 3 Ave
1929	13	0	326	E 11 St & 1 Ave
1962	13	5.99	327	Vesey Pl & River Terrace
1984	13	20.72	328	Watts St & Greenwich St
2011	13	1.52	329	Greenwich St & N Moore St
2038	13	3.49	330	Reade St & Broadway
2070	13	0	331	Pike St & Monroe St
2084	13	0	332	Cherry St
2125	13	3.38	334	W 20 St & 7 Ave
2148	13	15.58	335	Washington Pl & Broadway
2183	13	7.52	336	Sullivan St & Washington Sq
2208	13	15.03	337	Old Slip & Front St
2217	13	0.11	339	Avenue D & E 12 St
2240	13	0	340	Madison St & Clinton St
2280	13	0.65	341	Stanton St & Mangin St
2307	13	0.44	342	Columbia St & Rivington St
2340	13	0.22	345	W 13 St & 6 Ave
2352	13	0.54	346	Bank St & Hudson St
2383	13	9.8	347	W Houston St & Hudson St
2408	13	14.92	348	W Broadway & Spring St
2431	13	0	349	Rivington St and Ridge St
2459	13	0	350	Clinton St & Grand St
2482	13	13.07	351	Front St & Maiden Ln
2509	13	24.18	352	W 56 St & 6 Ave
2540	13	1.85	355	Bayard St & Baxter St
2563	13	0.22	356	Bialystoker Pl & Delancey St
2581	13	1.42	357	E 11 St & Broadway
2609	13	0.22	358	Christopher St & Greenwich St
2631	13	0	359	E 47 St & Park Av
2659	13	1.63	360	William St & Pine St
2680	13	0	361	Allen St & Hester St
2727	13	0.54	362	Broadway & W 37 St
2753	13	0.33	363	West Thames St
2776	13	0	367	E 53 St and Lexington Ave
2794	13	3.38	368	Carmine St & 6 Ave
2821	13	1.09	369	Washington Pl & 6 Ave
2853	13	3.27	375	Mercer St & Bleecker St
2884	13	6.75	376	John St & William St
2912	13	1.31	377	6 Ave & Canal St
2924	13	0.22	379	W 31 St & 7 Ave
2951	13	0.11	380	W 4 St & 7 Ave S
2967	13	14.49	382	University Pl & E 14 St
2995	13	0	383	Greenwich Ave & 7 Ave
3017	13	1.53	385	E 55 St & 2 Ave
3051	13	3.81	386	Centre St & Worth St
3070	13	5.34	387	Centre St & Chambers St
3101	13	7.08	388	W 26 St & 10 Ave
3137	13	0	393	E 5 St & Avenue C
3155	13	0.11	394	E 9 St & Avenue C
3191	13	0	400	Pitt St & Stanton St
3216	13	19.28	401	Allen St & Rivington St
3242	13	0.47	402	Broadway & E 22 St
3266	13	0.65	405	Washington St & Gansevoort St
3288	13	0	408	Market St & Cherry St
3310	13	0	410	Suffolk St & Stanton St
3346	13	0	411	E 6 St & Avenue D
3378	13	0.87	412	Forsyth St & Canal St
3395	13	12.96	415	Pearl St & Hanover Square
3419	13	14.38	417	Barclay St & Church St
3451	13	0	422	W 59 St & 10 Ave
3470	13	0.22	423	W 54 St & 9 Ave
3495	13	7.95	426	West St & Chambers St
3531	13	1.09	427	State St
3545	13	0.11	428	E 3 St & 1 Ave
3580	13	11.44	432	E 7 St & Avenue A
3599	13	0.54	433	E 13 St & Avenue A
3634	13	17.86	434	9 Ave & W 18 St
3662	13	10.02	435	W 21 St & 6 Ave
3675	13	0.33	438	St Marks Pl & 1 Ave
3699	13	0.44	439	E 4 St & 2 Ave
3733	13	6.21	440	E 45 St & 3 Ave
3748	13	0.54	441	E 52 St & 2 Ave
3774	13	21.57	442	W 27 St & 7 Ave
3801	13	6.97	444	Broadway & W 24 St
3832	13	0	445	E 10 St & Avenue A
3851	13	11.22	446	W 24 St & 7 Ave
3878	13	0	447	8  Ave & W 52 St
3904	13	12.42	448	W 37 St & 10 Ave
3932	13	0	449	52 St & 9 Ave
3956	13	5.45	453	W 22 St & 8 Ave
3993	13	4.68	455	1 Ave & E 44 St
4007	13	3.59	456	E 53 St & Madison Ave
4053	13	0.54	457	Broadway & W 57 St
4071	13	3.81	458	W 22 St & 11 Ave
4089	13	7.3	459	W 18 St & 11 Ave
4112	13	0.11	461	E 20 St & 2 Ave
4144	13	7.08	462	W 22 St & 10 Ave
4166	13	5.12	463	9 Ave & W 16 St
4194	13	21.68	465	Broadway & W 41 St
4235	13	9.71	466	W 25 St & 6 Ave
4249	13	0.22	468	Broadway & W 55 St
4278	13	0.54	469	Broadway & W 53 St
4306	13	0	470	W 20 St & 8 Ave
4329	13	1.2	472	E 32 St & Park Av
4360	13	0.44	473	Rivington St & Chrystie St
4387	13	4.9	474	5 Ave & E 29 St
4414	13	0.11	475	E 16 St & Irving Pl
4421	13	0.44	476	E 31 St & 3 Ave
4471	13	0	477	W 41 St & 8 Ave
4476	13	0	478	11 Ave & W 41 St
4500	13	0	479	9 Ave & W 45 St
4527	13	0.65	480	W 53 St & 10 Ave
4552	13	1.2	482	W 15 St & 7 Ave
4580	13	0.11	483	E 12 St & 3 Ave
4607	13	7.41	484	W 44 St & 5 Ave
4634	13	1.09	485	W 37 St & 5 Ave
4656	13	2.18	486	Broadway & W 29 St
4681	13	13.73	487	E 20 St & FDR Drive
4707	13	0	488	W 39 St & 9 Ave
4737	13	1.31	489	10 Ave & W 28 St
4766	13	0.22	490	W 33 St & 8 Ave
4790	13	0.76	491	E 24 St & Park Ave S
4818	13	0	492	W 33 St & 7 Ave
4845	13	2.07	493	W 45 St & 6 Ave
4876	13	0.11	494	W 26 St & 8 Ave
4898	13	0.44	495	W 47 St & 10 Ave
4917	13	9.8	496	E 16 St & 5 Ave
4949	13	12.64	497	E 17 St & Broadway
4975	13	0	498	Broadway & W 32 St
5017	13	0	499	Broadway & W 60 St
5031	13	2.61	500	Broadway & W 51 St
5052	13	0	501	FDR Drive & E 35 St
5080	13	2.18	503	E 20 St & Park Ave
5110	13	18.3	504	1 Ave & E 15 St
5128	13	0	505	6 Ave & W 33 St
5155	13	0.54	507	E 25 St & 2 Ave
5176	13	0.22	508	W 46 St & 11 Ave
5205	13	0.44	509	9 Ave & W 22 St
5232	13	37.91	510	W 51 St & 6 Ave
5253	13	0	511	E 14 St & Avenue B
5302	13	0	513	W 56 St & 10 Ave
5313	13	0.54	514	12 Ave & W 40 St
5333	13	0	515	W 43 St & 10 Ave
5363	13	9.37	516	E 47 St & 1 Ave
5390	13	1.2	517	Pershing Square S
5409	13	0.11	518	E 39 St & 2 Ave
5444	13	0	519	Pershing Square N
5480	13	0	520	W 52 St & 5 Ave
5495	13	0	521	8 Ave & W 31 St
5522	13	17.76	522	E 51 St & Lexington Ave
5542	13	0	523	W 38 St & 8 Ave
5580	13	2.83	524	W 43 St & 6 Ave
5609	13	1.31	525	W 34 St & 11 Ave
5627	13	1.2	526	E 33 St & 5 Ave
5654	13	0	527	E 33 St & 1 Ave
5681	13	0.65	528	2 Ave & E 30 St
5703	13	0	529	W 42 St & 8 Ave
5743	13	0	530	11 Av & 59 St
5762	13	0	531	Forsyth St & Broome St
5789	13	0.65	533	Broadway & W 39 St
5806	13	6.75	534	Water - Whitehall Plaza
5833	13	1.2	536	1 Ave & E 30 St
5871	13	8.06	537	Lexington Ave & E 24 St
5889	13	0.87	540	Lexington Ave & E 26 St
5912	13	26.69	545	E 23 St & 1 Ave
5943	13	2.94	546	E 30 St & Park Ave S
5970	13	15.03	2003	1 Ave & 18 St
5985	13	11.76	2004	Spring St & 6 Ave
6015	13	0.76	2006	Central Park S & 6 Ave
6042	13	0.33	2017	E 43 St & 2 Ave
6074	13	0.11	2021	W 45 St & 8 Ave
6089	13	6.1	2023	E 55 St & Lexington Ave
6121	13	11	3002	South End Av & Liberty St
6140	13	0	2009	Catherine St & Monroe St
6164	13	10.57	2010	Grand St & Greene St
6189	13	0.11	2022	E 59 St & Sutton Pl
6220	13	0	502	E Broadway & Grand St
6243	13	0.33	2012	E 27 St & 1 Ave
6267	13	3.81	2008	Little West St & 1 Pl
6297	13	3.7	3016	W 23 & 8 Ave
6329	13	5.09	3131	Coming soon: E 63 St & York Ave 
6347	13	5.45	3132	E 59 St & Madison Ave
6373	13	0.76	3134	3 Ave & E 62 St
6398	13	0.11	3142	1 Ave & E 62 St
6425	13	3.05	3223	E 55 St & 3 Ave
6450	13	11.55	3224	W 13 St & Hudson St
6479	13	0.44	3230	Penn Station Valet
6506	13	3.16	3233	E 48 St & 5 Ave
6547	13	2.29	3235	E 41 St & Madison Ave
6577	13	0	3236	PABT Valet
24	14	0	72	W 52 St & 11 Ave
38	14	8.51	79	Franklin St & W Broadway
65	14	1.42	82	St James Pl & Pearl St
92	14	5.56	116	W 17 St & 8 Ave
109	14	0.87	127	Barrow St & Hudson St
137	14	9.6	128	MacDougal St & Prince St
159	14	5.13	137	Henry St & Grand St
185	14	4.36	146	Hudson St & Reade St
211	14	17.23	147	Greenwich St & Warren St
236	14	0	150	E 2 St & Avenue C
274	14	4.8	151	Cleveland Pl & Spring St
292	14	8.72	152	Warren St & Church St
323	14	0.11	153	E 40 St & 5 Ave
350	14	0	160	E 37 St & Lexington Ave
377	14	5.89	161	LaGuardia Pl & W 3 St
399	14	2.18	164	E 47 St & 2 Ave
425	14	0.11	167	E 39 St & 3 Av
449	14	7.2	168	W 18 St & 6 Av
472	14	0.33	173	Broadway & W 49 St
496	14	0.44	174	E 25 St & 1 Ave
521	14	1.74	195	Liberty St & Broadway
558	14	7.42	212	W 16 St & The High Line
576	14	51.58	223	W 13 St & 7 Ave
603	14	7.42	224	Spruce St & Nassau St
634	14	11.34	225	W 14 St & The High Line
656	14	2.51	228	E 48 St & 3 Ave
677	14	9.38	229	Great Jones St
710	14	0	236	St Marks Pl & 2 Ave
731	14	0	237	E 11 Street & 2 Avenue
756	14	0.33	238	Bank St & Washington St
784	14	0	247	Perry St & Bleecker St
815	14	6	248	Laight St & Hudson St
839	14	14.06	249	Harrison St & Hudson St
866	14	0.76	250	Lafayette St & Jersey St
894	14	8.62	251	Mott St & Prince St
921	14	2.18	252	MacDougal St & Washington Sq
948	14	1.74	253	W 13 St & 5 Ave
980	14	0.44	254	W 11 St & 6 Ave
1002	14	9.71	257	Lispenard St & Broadway
1025	14	7.96	259	South St & Whitehall St
1045	14	7.84	260	Broad St & Bridge St
1073	14	1.85	263	Elizabeth St & Hester St
1117	14	16.47	264	Maiden Ln & Pearl St
1139	14	0.65	265	Stanton St & Chrystie St
1159	14	0	266	Avenue D & E 8 St
1177	14	17.88	268	Howard St & Centre St
1204	14	7.96	276	Duane St & Greenwich St
1230	14	1.96	280	E 10 St & 5 Ave
1258	14	1.2	281	Grand Army Plaza & Central Park S
1285	14	1.42	284	Greenwich Ave & 8 Ave
1303	14	3.49	285	Broadway & E 14 St
1338	14	0	291	Madison St & Montgomery St
1366	14	26.92	293	Lafayette St & E 8 St
1401	14	0.44	295	Pike St & E Broadway
1405	14	2.62	296	Division St & Bowery
1438	14	0	297	E 15 St & 3 Ave
1457	14	0	300	Cooper Square & E 7 St
1492	14	0	301	E 2 St & Avenue B
1515	14	0	302	Avenue D & E 3 St
1551	14	11.78	303	Mercer St & Spring St
1561	14	0.11	304	Broadway & Battery Pl
1596	14	2.4	305	E 58 St and 3 Ave
1626	14	7.09	306	Cliff St & Fulton St
1641	14	0	307	Canal St & Rutgers St
1665	14	0.98	308	St James Pl & Oliver St
1700	14	6.54	309	Murray St & West St
1723	14	0	311	Norfolk St & Broome St
1750	14	19.19	312	Allen St & E Houston St
1777	14	16.47	315	South St & Gouverneur Ln
1800	14	3.6	316	Fulton St & William St
1822	14	0	317	E 6 St & Avenue B
1848	14	4.36	319	Park Pl & Church St
1881	14	3.05	320	Church St & Leonard St
1912	14	0	325	E 19 St & 3 Ave
1948	14	0	326	E 11 St & 1 Ave
1968	14	3.71	327	Vesey Pl & River Terrace
1995	14	21.3	328	Watts St & Greenwich St
2025	14	1.64	329	Greenwich St & N Moore St
2054	14	4.58	330	Reade St & Broadway
2067	14	0	331	Pike St & Monroe St
2085	14	0	332	Cherry St
2113	14	1.85	334	W 20 St & 7 Ave
2139	14	13.3	335	Washington Pl & Broadway
2169	14	11.23	336	Sullivan St & Washington Sq
2207	14	20.72	337	Old Slip & Front St
2230	14	0.44	339	Avenue D & E 12 St
2248	14	0.11	340	Madison St & Clinton St
2266	14	0.44	341	Stanton St & Mangin St
2293	14	0.11	342	Columbia St & Rivington St
2316	14	0.87	345	W 13 St & 6 Ave
2347	14	0.33	346	Bank St & Hudson St
2380	14	8.29	347	W Houston St & Hudson St
2398	14	11.56	348	W Broadway & Spring St
2427	14	0	349	Rivington St and Ridge St
2452	14	0	350	Clinton St & Grand St
2483	14	17.78	351	Front St & Maiden Ln
2510	14	22.79	352	W 56 St & 6 Ave
2528	14	3.38	355	Bayard St & Baxter St
2560	14	0	356	Bialystoker Pl & Delancey St
2591	14	0.98	357	E 11 St & Broadway
2615	14	0.87	358	Christopher St & Greenwich St
2629	14	0.11	359	E 47 St & Park Av
2667	14	1.96	360	William St & Pine St
2689	14	0.11	361	Allen St & Hester St
2717	14	1.31	362	Broadway & W 37 St
2736	14	1.2	363	West Thames St
2772	14	0	367	E 53 St and Lexington Ave
2790	14	3.16	368	Carmine St & 6 Ave
2826	14	1.42	369	Washington Pl & 6 Ave
2844	14	3.27	375	Mercer St & Bleecker St
2863	14	3.49	376	John St & William St
2889	14	2.73	377	6 Ave & Canal St
2935	14	0.44	379	W 31 St & 7 Ave
2953	14	0.11	380	W 4 St & 7 Ave S
2973	14	13.96	382	University Pl & E 14 St
3004	14	0	383	Greenwich Ave & 7 Ave
3027	14	1.42	385	E 55 St & 2 Ave
3063	14	7.09	386	Centre St & Worth St
3086	14	7.2	387	Centre St & Chambers St
3117	14	9.16	388	W 26 St & 10 Ave
3135	14	0	393	E 5 St & Avenue C
3153	14	0	394	E 9 St & Avenue C
3188	14	0.22	400	Pitt St & Stanton St
3207	14	19.08	401	Allen St & Rivington St
3247	14	0.7	402	Broadway & E 22 St
3265	14	1.31	405	Washington St & Gansevoort St
3297	14	0	408	Market St & Cherry St
3306	14	0	410	Suffolk St & Stanton St
3333	14	0	411	E 6 St & Avenue D
3369	14	1.96	412	Forsyth St & Canal St
3396	14	14.29	415	Pearl St & Hanover Square
3414	14	13.96	417	Barclay St & Church St
3434	14	0.11	422	W 59 St & 10 Ave
3476	14	0.44	423	W 54 St & 9 Ave
3505	14	7.09	426	West St & Chambers St
3527	14	0.76	427	State St
3542	14	0.11	428	E 3 St & 1 Ave
3572	14	11.34	432	E 7 St & Avenue A
3598	14	0.44	433	E 13 St & Avenue A
3630	14	13.96	434	9 Ave & W 18 St
3648	14	4.58	435	W 21 St & 6 Ave
3671	14	0.22	438	St Marks Pl & 1 Ave
3697	14	0	439	E 4 St & 2 Ave
3728	14	4.36	440	E 45 St & 3 Ave
3766	14	0.87	441	E 52 St & 2 Ave
3780	14	21.16	442	W 27 St & 7 Ave
3811	14	4.25	444	Broadway & W 24 St
3834	14	0.33	445	E 10 St & Avenue A
3865	14	10.25	446	W 24 St & 7 Ave
3888	14	0	447	8  Ave & W 52 St
3911	14	12.54	448	W 37 St & 10 Ave
3928	14	0	449	52 St & 9 Ave
3974	14	5.23	453	W 22 St & 8 Ave
3990	14	6.43	455	1 Ave & E 44 St
4023	14	1.53	456	E 53 St & Madison Ave
4054	14	0.55	457	Broadway & W 57 St
4073	14	4.8	458	W 22 St & 11 Ave
4100	14	8.07	459	W 18 St & 11 Ave
4132	14	0	461	E 20 St & 2 Ave
4150	14	7.74	462	W 22 St & 10 Ave
4172	14	4.47	463	9 Ave & W 16 St
4190	14	21.59	465	Broadway & W 41 St
4233	14	4.93	466	W 25 St & 6 Ave
4260	14	0.65	468	Broadway & W 55 St
4284	14	0.22	469	Broadway & W 53 St
4312	14	0.22	470	W 20 St & 8 Ave
4335	14	0.33	472	E 32 St & Park Av
4358	14	0.33	473	Rivington St & Chrystie St
4385	14	2.62	474	5 Ave & E 29 St
4412	14	0.76	475	E 16 St & Irving Pl
4439	14	0.98	476	E 31 St & 3 Ave
4453	14	0	477	W 41 St & 8 Ave
4484	14	0	478	11 Ave & W 41 St
4516	14	0	479	9 Ave & W 45 St
4534	14	0.22	480	W 53 St & 10 Ave
4553	14	0.87	482	W 15 St & 7 Ave
4589	14	0.11	483	E 12 St & 3 Ave
4616	14	2.51	484	W 44 St & 5 Ave
4639	14	0.87	485	W 37 St & 5 Ave
4666	14	0.33	486	Broadway & W 29 St
4693	14	13.74	487	E 20 St & FDR Drive
4720	14	0.11	488	W 39 St & 9 Ave
4734	14	1.31	489	10 Ave & W 28 St
4781	14	0	490	W 33 St & 8 Ave
4796	14	1.74	491	E 24 St & Park Ave S
4826	14	1.31	492	W 33 St & 7 Ave
4846	14	1.74	493	W 45 St & 6 Ave
4872	14	0.33	494	W 26 St & 8 Ave
4896	14	0.55	495	W 47 St & 10 Ave
4927	14	10.47	496	E 16 St & 5 Ave
4954	14	9.27	497	E 17 St & Broadway
4976	14	0.11	498	Broadway & W 32 St
5006	14	0	499	Broadway & W 60 St
5025	14	1.53	500	Broadway & W 51 St
5069	14	0.55	501	FDR Drive & E 35 St
5091	14	2.4	503	E 20 St & Park Ave
5108	14	18.32	504	1 Ave & E 15 St
5145	14	0.33	505	6 Ave & W 33 St
5173	14	0	507	E 25 St & 2 Ave
5195	14	0.55	508	W 46 St & 11 Ave
5221	14	1.53	509	9 Ave & W 22 St
5239	14	37.3	510	W 51 St & 6 Ave
5257	14	0	511	E 14 St & Avenue B
5299	14	0	513	W 56 St & 10 Ave
5323	14	1.2	514	12 Ave & W 40 St
5352	14	0	515	W 43 St & 10 Ave
5362	14	8.07	516	E 47 St & 1 Ave
5397	14	0.33	517	Pershing Square S
5424	14	0.44	518	E 39 St & 2 Ave
5460	14	0.11	519	Pershing Square N
5474	14	0	520	W 52 St & 5 Ave
5505	14	0	521	8 Ave & W 31 St
5519	14	15.92	522	E 51 St & Lexington Ave
5544	14	0	523	W 38 St & 8 Ave
5566	14	2.73	524	W 43 St & 6 Ave
5593	14	0.87	525	W 34 St & 11 Ave
5635	14	0.44	526	E 33 St & 5 Ave
5663	14	0	527	E 33 St & 1 Ave
5689	14	0.65	528	2 Ave & E 30 St
5712	14	0.11	529	W 42 St & 8 Ave
5734	14	0	530	11 Av & 59 St
5756	14	0	531	Forsyth St & Broome St
5779	14	0.33	533	Broadway & W 39 St
5799	14	6.22	534	Water - Whitehall Plaza
5831	14	0.11	536	1 Ave & E 30 St
5864	14	7.42	537	Lexington Ave & E 24 St
5896	14	0.87	540	Lexington Ave & E 26 St
5910	14	26.94	545	E 23 St & 1 Ave
5938	14	2.84	546	E 30 St & Park Ave S
5964	14	15.05	2003	1 Ave & 18 St
5992	14	10.8	2004	Spring St & 6 Ave
6018	14	1.96	2006	Central Park S & 6 Ave
6036	14	0.11	2017	E 43 St & 2 Ave
6059	14	0.11	2021	W 45 St & 8 Ave
6104	14	3.82	2023	E 55 St & Lexington Ave
6128	14	4.36	3002	South End Av & Liberty St
6155	14	0	2009	Catherine St & Monroe St
6178	14	12.32	2010	Grand St & Greene St
6208	14	0	2022	E 59 St & Sutton Pl
6232	14	0	502	E Broadway & Grand St
6263	14	0.22	2012	E 27 St & 1 Ave
6277	14	5.13	2008	Little West St & 1 Pl
6304	14	4.14	3016	W 23 & 8 Ave
6339	14	5.68	3131	Coming soon: E 63 St & York Ave 
6363	14	3.49	3132	E 59 St & Madison Ave
6385	14	0.87	3134	3 Ave & E 62 St
6413	14	0	3142	1 Ave & E 62 St
6426	14	0.76	3223	E 55 St & 3 Ave
6453	14	10.03	3224	W 13 St & Hudson St
6493	14	0	3230	Penn Station Valet
6511	14	1.53	3233	E 48 St & 5 Ave
6543	14	0.98	3235	E 41 St & Madison Ave
6558	14	0	3236	PABT Valet
18	15	0	72	W 52 St & 11 Ave
47	15	7.42	79	Franklin St & W Broadway
69	15	0.98	82	St James Pl & Pearl St
103	15	2.84	116	W 17 St & 8 Ave
130	15	1.96	127	Barrow St & Hudson St
145	15	5.89	128	MacDougal St & Prince St
169	15	3.93	137	Henry St & Grand St
186	15	5.23	146	Hudson St & Reade St
214	15	16.03	147	Greenwich St & Warren St
241	15	0	150	E 2 St & Avenue C
268	15	3.38	151	Cleveland Pl & Spring St
308	15	9.16	152	Warren St & Church St
334	15	0.22	153	E 40 St & 5 Ave
344	15	0	160	E 37 St & Lexington Ave
380	15	4.58	161	LaGuardia Pl & W 3 St
407	15	1.31	164	E 47 St & 2 Ave
434	15	0.11	167	E 39 St & 3 Av
461	15	3.93	168	W 18 St & 6 Av
483	15	0.22	173	Broadway & W 49 St
506	15	0.11	174	E 25 St & 1 Ave
528	15	2.62	195	Liberty St & Broadway
559	15	3.49	212	W 16 St & The High Line
598	15	51.69	223	W 13 St & 7 Ave
606	15	3.71	224	Spruce St & Nassau St
638	15	7.09	225	W 14 St & The High Line
661	15	3.38	228	E 48 St & 3 Ave
692	15	10.25	229	Great Jones St
719	15	0.22	236	St Marks Pl & 2 Ave
747	15	0	237	E 11 Street & 2 Avenue
764	15	0	238	Bank St & Washington St
787	15	0.65	247	Perry St & Bleecker St
826	15	4.47	248	Laight St & Hudson St
857	15	20.74	249	Harrison St & Hudson St
880	15	0.76	250	Lafayette St & Jersey St
891	15	8.29	251	Mott St & Prince St
931	15	3.05	252	MacDougal St & Washington Sq
945	15	1.31	253	W 13 St & 5 Ave
981	15	0.33	254	W 11 St & 6 Ave
1012	15	10.47	257	Lispenard St & Broadway
1039	15	4.03	259	South St & Whitehall St
1041	15	3.03	260	Broad St & Bridge St
1083	15	1.09	263	Elizabeth St & Hester St
1116	15	18.21	264	Maiden Ln & Pearl St
1140	15	0.65	265	Stanton St & Chrystie St
1165	15	0.11	266	Avenue D & E 8 St
1193	15	17.01	268	Howard St & Centre St
1218	15	14.72	276	Duane St & Greenwich St
1245	15	0.76	280	E 10 St & 5 Ave
1264	15	0.33	281	Grand Army Plaza & Central Park S
1279	15	2.29	284	Greenwich Ave & 8 Ave
1301	15	2.84	285	Broadway & E 14 St
1330	15	0	291	Madison St & Montgomery St
1375	15	27.29	293	Lafayette St & E 8 St
1395	15	0.22	295	Pike St & E Broadway
1413	15	2.62	296	Division St & Bowery
1445	15	0	297	E 15 St & 3 Ave
1476	15	0	300	Cooper Square & E 7 St
1494	15	0	301	E 2 St & Avenue B
1518	15	0	302	Avenue D & E 3 St
1539	15	9.81	303	Mercer St & Spring St
1571	15	0.22	304	Broadway & Battery Pl
1605	15	2.4	305	E 58 St and 3 Ave
1637	15	5.56	306	Cliff St & Fulton St
1664	15	0	307	Canal St & Rutgers St
1682	15	2.4	308	St James Pl & Oliver St
1691	15	5.02	309	Murray St & West St
1722	15	0.22	311	Norfolk St & Broome St
1754	15	18.76	312	Allen St & E Houston St
1790	15	15.92	315	South St & Gouverneur Ln
1820	15	3.71	316	Fulton St & William St
1839	15	0	317	E 6 St & Avenue B
1855	15	2.84	319	Park Pl & Church St
1879	15	1.53	320	Church St & Leonard St
1918	15	0	325	E 19 St & 3 Ave
1949	15	0	326	E 11 St & 1 Ave
1974	15	2.94	327	Vesey Pl & River Terrace
2001	15	20.2	328	Watts St & Greenwich St
2020	15	1.39	329	Greenwich St & N Moore St
2050	15	5.23	330	Reade St & Broadway
2077	15	0.11	331	Pike St & Monroe St
2091	15	0.11	332	Cherry St
2110	15	1.31	334	W 20 St & 7 Ave
2134	15	6.54	335	Washington Pl & Broadway
2166	15	7.52	336	Sullivan St & Washington Sq
2203	15	12.98	337	Old Slip & Front St
2227	15	0.33	339	Avenue D & E 12 St
2261	15	0	340	Madison St & Clinton St
2272	15	0	341	Stanton St & Mangin St
2303	15	0.44	342	Columbia St & Rivington St
2318	15	0.22	345	W 13 St & 6 Ave
2345	15	0.11	346	Bank St & Hudson St
2377	15	2.94	347	W Houston St & Hudson St
2395	15	13.09	348	W Broadway & Spring St
2423	15	0	349	Rivington St and Ridge St
2466	15	0	350	Clinton St & Grand St
2480	15	13.41	351	Front St & Maiden Ln
2511	15	21.48	352	W 56 St & 6 Ave
2530	15	2.94	355	Bayard St & Baxter St
2570	15	0	356	Bialystoker Pl & Delancey St
2588	15	0.98	357	E 11 St & Broadway
2612	15	1.74	358	Christopher St & Greenwich St
2649	15	0	359	E 47 St & Park Av
2671	15	1.53	360	William St & Pine St
2698	15	0.11	361	Allen St & Hester St
2725	15	1.09	362	Broadway & W 37 St
2755	15	0.65	363	West Thames St
2770	15	0	367	E 53 St and Lexington Ave
2797	15	3.71	368	Carmine St & 6 Ave
2832	15	1.53	369	Washington Pl & 6 Ave
2858	15	3.16	375	Mercer St & Bleecker St
2878	15	3.93	376	John St & William St
2888	15	0.87	377	6 Ave & Canal St
2938	15	4.69	379	W 31 St & 7 Ave
2962	15	0.33	380	W 4 St & 7 Ave S
2989	15	10.58	382	University Pl & E 14 St
3010	15	0.33	383	Greenwich Ave & 7 Ave
3028	15	1.64	385	E 55 St & 2 Ave
3059	15	4.47	386	Centre St & Worth St
3082	15	5.89	387	Centre St & Chambers St
3113	15	9.71	388	W 26 St & 10 Ave
3131	15	0	393	E 5 St & Avenue C
3162	15	0	394	E 9 St & Avenue C
3173	15	0.55	400	Pitt St & Stanton St
3223	15	19.19	401	Allen St & Rivington St
3244	15	0	402	Broadway & E 22 St
3261	15	0.87	405	Washington St & Gansevoort St
3293	15	0	408	Market St & Cherry St
3311	15	0	410	Suffolk St & Stanton St
3351	15	0	411	E 6 St & Avenue D
3365	15	1.09	412	Forsyth St & Canal St
3387	15	9.81	415	Pearl St & Hanover Square
3407	15	13.3	417	Barclay St & Church St
3458	15	0	422	W 59 St & 10 Ave
3473	15	0	423	W 54 St & 9 Ave
