	variable	value	citibike_station_id	label
3325	0	26.22	410	Suffolk St & Stanton St
3330	0	49.78	411	E 6 St & Avenue D
3371	0	2.11	412	Forsyth St & Canal St
3393	0	0	415	Pearl St & Hanover Square
3413	0	4.67	417	Barclay St & Church St
3457	0	0	422	W 59 St & 10 Ave
3480	0	0	423	W 54 St & 9 Ave
3507	0	1.44	426	West St & Chambers St
3530	0	0	427	State St
3558	0	8.44	428	E 3 St & 1 Ave
3585	0	28.22	432	E 7 St & Avenue A
3605	0	32.89	433	E 13 St & Avenue A
3635	0	3.78	434	9 Ave & W 18 St
3652	0	0	435	W 21 St & 6 Ave
3689	0	25.67	438	St Marks Pl & 1 Ave
3707	0	2.67	439	E 4 St & 2 Ave
3732	0	0	440	E 45 St & 3 Ave
3759	0	0	441	E 52 St & 2 Ave
3786	0	20.67	442	W 27 St & 7 Ave
3813	0	1.11	444	Broadway & W 24 St
3831	0	38	445	E 10 St & Avenue A
3872	0	10	446	W 24 St & 7 Ave
3894	0	0	447	8  Ave & W 52 St
3922	0	26.67	448	W 37 St & 10 Ave
3944	0	0	449	52 St & 9 Ave
3954	0	18.78	453	W 22 St & 8 Ave
3997	0	2	455	1 Ave & E 44 St
4015	0	0	456	E 53 St & Madison Ave
4038	0	0.67	457	Broadway & W 57 St
4065	0	0.44	458	W 22 St & 11 Ave
4092	0	0	459	W 18 St & 11 Ave
4116	0	20.89	461	E 20 St & 2 Ave
4149	0	6.78	462	W 22 St & 10 Ave
4177	0	2	463	9 Ave & W 16 St
4206	0	20.67	465	Broadway & W 41 St
4237	0	0	466	W 25 St & 6 Ave
4254	0	0	468	Broadway & W 55 St
4273	0	0	469	Broadway & W 53 St
4296	0	9.89	470	W 20 St & 8 Ave
4327	0	0	472	E 32 St & Park Av
4359	0	9.44	473	Rivington St & Chrystie St
4369	0	0	474	5 Ave & E 29 St
4404	0	0.78	475	E 16 St & Irving Pl
4424	0	0.89	476	E 31 St & 3 Ave
4462	0	3.11	477	W 41 St & 8 Ave
4490	0	19.67	478	11 Ave & W 41 St
4508	0	3.44	479	9 Ave & W 45 St
4545	0	11.67	480	W 53 St & 10 Ave
4561	0	14	482	W 15 St & 7 Ave
4597	0	3.89	483	E 12 St & 3 Ave
4619	0	0	484	W 44 St & 5 Ave
4651	0	0	485	W 37 St & 5 Ave
4674	0	0	486	Broadway & W 29 St
4688	0	35.56	487	E 20 St & FDR Drive
4730	0	8.33	488	W 39 St & 9 Ave
4744	0	0.67	489	10 Ave & W 28 St
4762	0	1.33	490	W 33 St & 8 Ave
4798	0	0	491	E 24 St & Park Ave S
4834	0	0.22	492	W 33 St & 7 Ave
4852	0	0	493	W 45 St & 6 Ave
4870	0	2	494	W 26 St & 8 Ave
4910	0	29.22	495	W 47 St & 10 Ave
4934	0	0.44	496	E 16 St & 5 Ave
4957	0	0	497	E 17 St & Broadway
4989	0	0	498	Broadway & W 32 St
5002	0	0	499	Broadway & W 60 St
5033	0	0	500	Broadway & W 51 St
5058	0	0.67	501	FDR Drive & E 35 St
5084	0	0	503	E 20 St & Park Ave
5111	0	32.78	504	1 Ave & E 15 St
5133	0	0.33	505	6 Ave & W 33 St
5161	0	3.56	507	E 25 St & 2 Ave
5188	0	15	508	W 46 St & 11 Ave
5216	0	23.67	509	9 Ave & W 22 St
5234	0	36	510	W 51 St & 6 Ave
5264	0	24.33	511	E 14 St & Avenue B
5279	0	0	513	W 56 St & 10 Ave
5306	0	11.44	514	12 Ave & W 40 St
5335	0	14.67	515	W 43 St & 10 Ave
5360	0	6	516	E 47 St & 1 Ave
5393	0	0.89	517	Pershing Square S
5416	0	0	518	E 39 St & 2 Ave
5452	0	0	519	Pershing Square N
5482	0	0	520	W 52 St & 5 Ave
5511	0	0.44	521	8 Ave & W 31 St
5530	0	15.33	522	E 51 St & Lexington Ave
5547	0	1.56	523	W 38 St & 8 Ave
5583	0	0.78	524	W 43 St & 6 Ave
5601	0	0	525	W 34 St & 11 Ave
5624	0	1.11	526	E 33 St & 5 Ave
5651	0	0	527	E 33 St & 1 Ave
5673	0	0.33	528	2 Ave & E 30 St
5705	0	9.56	529	W 42 St & 8 Ave
5736	0	12.89	530	11 Av & 59 St
5772	0	4.22	531	Forsyth St & Broome St
5783	0	0	533	Broadway & W 39 St
5820	0	0	534	Water - Whitehall Plaza
5850	0	0	536	1 Ave & E 30 St
5873	0	5.33	537	Lexington Ave & E 24 St
5895	0	1.33	540	Lexington Ave & E 26 St
5928	0	45.11	545	E 23 St & 1 Ave
5949	0	0	546	E 30 St & Park Ave S
5975	0	44.56	2003	1 Ave & 18 St
5998	0	2	2004	Spring St & 6 Ave
6025	0	0	2006	Central Park S & 6 Ave
6049	0	0	2017	E 43 St & 2 Ave
6063	0	0.33	2021	W 45 St & 8 Ave
6090	0	0	2023	E 55 St & Lexington Ave
6126	0	10.56	3002	South End Av & Liberty St
6159	0	18.56	2009	Catherine St & Monroe St
6170	0	0	2010	Grand St & Greene St
6209	0	0.67	2022	E 59 St & Sutton Pl
6225	0	48.33	502	E Broadway & Grand St
6261	0	0.22	2012	E 27 St & 1 Ave
6279	0	10.78	2008	Little West St & 1 Pl
6314	0	4.56	3016	W 23 & 8 Ave
6319	0	4.37	3131	Coming soon: E 63 St & York Ave 
6345	0	0	3132	E 59 St & Madison Ave
6375	0	0.11	3134	3 Ave & E 62 St
6406	0	0	3142	1 Ave & E 62 St
6429	0	0	3223	E 55 St & 3 Ave
6457	0	1.33	3224	W 13 St & Hudson St
6496	0	0	3230	Penn Station Valet
6515	0	0	3233	E 48 St & 5 Ave
6537	0	0	3235	E 41 St & Madison Ave
6567	0	19.56	3236	PABT Valet
15	1	1.55	72	W 52 St & 11 Ave
33	1	0	79	Franklin St & W Broadway
53	1	7.96	82	St James Pl & Pearl St
80	1	2.1	116	W 17 St & 8 Ave
118	1	12.15	127	Barrow St & Hudson St
141	1	1.33	128	MacDougal St & Prince St
160	1	0	137	Henry St & Grand St
195	1	0	146	Hudson St & Reade St
230	1	2.87	147	Greenwich St & Warren St
246	1	39.78	150	E 2 St & Avenue C
266	1	0	151	Cleveland Pl & Spring St
293	1	2.65	152	Warren St & Church St
319	1	0	153	E 40 St & 5 Ave
346	1	0	160	E 37 St & Lexington Ave
366	1	0.66	161	LaGuardia Pl & W 3 St
391	1	0	164	E 47 St & 2 Ave
418	1	0	167	E 39 St & 3 Av
443	1	0	168	W 18 St & 6 Av
481	1	0	173	Broadway & W 49 St
504	1	24.2	174	E 25 St & 1 Ave
531	1	0	195	Liberty St & Broadway
563	1	0	212	W 16 St & The High Line
574	1	51.6	223	W 13 St & 7 Ave
610	1	0.33	224	Spruce St & Nassau St
637	1	1.77	225	W 14 St & The High Line
655	1	0.11	228	E 48 St & 3 Ave
682	1	0	229	Great Jones St
709	1	17.46	236	St Marks Pl & 2 Ave
740	1	11.05	237	E 11 Street & 2 Avenue
758	1	10.94	238	Bank St & Washington St
797	1	23.31	247	Perry St & Bleecker St
811	1	0.33	248	Laight St & Hudson St
834	1	0	249	Harrison St & Hudson St
861	1	0	250	Lafayette St & Jersey St
897	1	6.96	251	Mott St & Prince St
920	1	1.1	252	MacDougal St & Washington Sq
943	1	0.11	253	W 13 St & 5 Ave
975	1	1.33	254	W 11 St & 6 Ave
989	1	0.66	257	Lispenard St & Broadway
1017	1	0	259	South St & Whitehall St
1050	1	0	260	Broad St & Bridge St
1079	1	2.87	263	Elizabeth St & Hester St
1106	1	2.65	264	Maiden Ln & Pearl St
1134	1	8.18	265	Stanton St & Chrystie St
1157	1	48.18	266	Avenue D & E 8 St
1179	1	8.29	268	Howard St & Centre St
1202	1	3.31	276	Duane St & Greenwich St
1229	1	1.44	280	E 10 St & 5 Ave
1267	1	0	281	Grand Army Plaza & Central Park S
1298	1	4.86	284	Greenwich Ave & 8 Ave
1306	1	0	285	Broadway & E 14 St
1331	1	44.97	291	Madison St & Montgomery St
1365	1	26.26	293	Lafayette St & E 8 St
1396	1	20.11	295	Pike St & E Broadway
