id	variable	value	cluster	label
1	15	10	0.33	1	E 2 St & Avenue C
2	15	14	0	1	E 2 St & Avenue C
3	15	5	28.54	1	E 2 St & Avenue C
4	15	1	39.78	1	E 2 St & Avenue C
5	15	9	0.11	1	E 2 St & Avenue C
6	15	18	2.98	1	E 2 St & Avenue C
7	15	23	39.3	1	E 2 St & Avenue C
8	15	12	0.22	1	E 2 St & Avenue C
9	15	4	39.11	1	E 2 St & Avenue C
10	15	7	2.29	1	E 2 St & Avenue C
11	15	22	39.14	1	E 2 St & Avenue C
12	15	15	0	1	E 2 St & Avenue C
13	15	19	24.45	1	E 2 St & Avenue C
14	15	2	39.89	1	E 2 St & Avenue C
15	15	6	7.09	1	E 2 St & Avenue C
16	15	21	35.42	1	E 2 St & Avenue C
17	15	0	36.33	1	E 2 St & Avenue C
18	15	13	0	1	E 2 St & Avenue C
19	15	8	0	1	E 2 St & Avenue C
20	15	11	0.22	1	E 2 St & Avenue C
21	15	3	39.32	1	E 2 St & Avenue C
22	15	16	0	1	E 2 St & Avenue C
23	15	17	0.33	1	E 2 St & Avenue C
24	15	20	29.79	1	E 2 St & Avenue C
25	32	23	51.8	1	W 13 St & 7 Ave
26	32	10	51.63	1	W 13 St & 7 Ave
27	32	7	51.2	1	W 13 St & 7 Ave
28	32	14	51.58	1	W 13 St & 7 Ave
29	32	11	51.63	1	W 13 St & 7 Ave
30	32	6	51.15	1	W 13 St & 7 Ave
31	32	3	50.98	1	W 13 St & 7 Ave
32	32	22	52.08	1	W 13 St & 7 Ave
33	32	15	51.69	1	W 13 St & 7 Ave
34	32	2	51.04	1	W 13 St & 7 Ave
35	32	21	51.86	1	W 13 St & 7 Ave
36	32	16	51.63	1	W 13 St & 7 Ave
37	32	5	51.63	1	W 13 St & 7 Ave
38	32	18	51.82	1	W 13 St & 7 Ave
39	32	19	52.41	1	W 13 St & 7 Ave
40	32	1	51.6	1	W 13 St & 7 Ave
41	32	0	52.33	1	W 13 St & 7 Ave
42	32	4	51.2	1	W 13 St & 7 Ave
43	32	17	51.92	1	W 13 St & 7 Ave
44	32	20	52.46	1	W 13 St & 7 Ave
45	32	12	51.58	1	W 13 St & 7 Ave
46	32	13	51.63	1	W 13 St & 7 Ave
47	32	9	50.98	1	W 13 St & 7 Ave
48	32	8	50.98	1	W 13 St & 7 Ave
49	39	2	15.96	1	St Marks Pl & 2 Ave
50	39	3	13.07	1	St Marks Pl & 2 Ave
51	39	4	9.91	1	St Marks Pl & 2 Ave
52	39	19	34.32	1	St Marks Pl & 2 Ave
53	39	6	0.44	1	St Marks Pl & 2 Ave
54	39	23	16.55	1	St Marks Pl & 2 Ave
55	39	10	0	1	St Marks Pl & 2 Ave
56	39	7	0	1	St Marks Pl & 2 Ave
57	39	21	28.07	1	St Marks Pl & 2 Ave
58	39	14	0	1	St Marks Pl & 2 Ave
59	39	9	0	1	St Marks Pl & 2 Ave
60	39	11	0	1	St Marks Pl & 2 Ave
61	39	20	32.64	1	St Marks Pl & 2 Ave
62	39	16	0	1	St Marks Pl & 2 Ave
63	39	5	5.99	1	St Marks Pl & 2 Ave
64	39	15	0.22	1	St Marks Pl & 2 Ave
65	39	17	0.66	1	St Marks Pl & 2 Ave
66	39	1	17.46	1	St Marks Pl & 2 Ave
67	39	0	18.44	1	St Marks Pl & 2 Ave
68	39	18	9.37	1	St Marks Pl & 2 Ave
69	39	8	0	1	St Marks Pl & 2 Ave
70	39	12	0.11	1	St Marks Pl & 2 Ave
71	39	13	0	1	St Marks Pl & 2 Ave
72	39	22	16.89	1	St Marks Pl & 2 Ave
73	40	3	14.16	1	E 11 Street & 2 Avenue
74	40	2	13.55	1	E 11 Street & 2 Avenue
75	40	6	0.76	1	E 11 Street & 2 Avenue
76	40	20	28.59	1	E 11 Street & 2 Avenue
77	40	10	0.11	1	E 11 Street & 2 Avenue
78	40	7	0	1	E 11 Street & 2 Avenue
79	40	19	22.7	1	E 11 Street & 2 Avenue
80	40	21	25.22	1	E 11 Street & 2 Avenue
81	40	23	15.09	1	E 11 Street & 2 Avenue
82	40	18	5.29	1	E 11 Street & 2 Avenue
83	40	17	0.55	1	E 11 Street & 2 Avenue
84	40	8	0	1	E 11 Street & 2 Avenue
85	40	5	12.09	1	E 11 Street & 2 Avenue
86	40	9	0.11	1	E 11 Street & 2 Avenue
87	40	4	16.01	1	E 11 Street & 2 Avenue
88	40	11	0	1	E 11 Street & 2 Avenue
89	40	16	0	1	E 11 Street & 2 Avenue
90	40	14	0	1	E 11 Street & 2 Avenue
91	40	15	0	1	E 11 Street & 2 Avenue
