id	variable	value	cluster	label
133	9	14	9.6	2	MacDougal St & Prince St
134	9	19	0.99	2	MacDougal St & Prince St
135	9	2	0.98	2	MacDougal St & Prince St
136	9	10	32.57	2	MacDougal St & Prince St
137	9	12	16.79	2	MacDougal St & Prince St
138	9	13	14.92	2	MacDougal St & Prince St
139	9	6	0	2	MacDougal St & Prince St
140	9	15	5.89	2	MacDougal St & Prince St
141	9	23	3.04	2	MacDougal St & Prince St
142	9	7	0.11	2	MacDougal St & Prince St
143	9	11	24.29	2	MacDougal St & Prince St
144	9	3	0	2	MacDougal St & Prince St
145	10	14	5.13	2	Henry St & Grand St
146	10	5	0	2	Henry St & Grand St
147	10	16	0.98	2	Henry St & Grand St
148	10	20	0	2	Henry St & Grand St
149	10	21	0	2	Henry St & Grand St
150	10	6	0.11	2	Henry St & Grand St
151	10	19	0	2	Henry St & Grand St
152	10	18	0	2	Henry St & Grand St
153	10	17	0.55	2	Henry St & Grand St
154	10	8	12.66	2	Henry St & Grand St
155	10	12	11.78	2	Henry St & Grand St
156	10	9	37.25	2	Henry St & Grand St
157	10	4	0	2	Henry St & Grand St
158	10	11	18.41	2	Henry St & Grand St
159	10	2	0	2	Henry St & Grand St
160	10	3	0	2	Henry St & Grand St
161	10	1	0	2	Henry St & Grand St
162	10	22	0	2	Henry St & Grand St
163	10	7	0.54	2	Henry St & Grand St
164	10	10	28.98	2	Henry St & Grand St
165	10	0	0	2	Henry St & Grand St
166	10	13	9.8	2	Henry St & Grand St
167	10	15	3.93	2	Henry St & Grand St
168	10	23	0	2	Henry St & Grand St
169	13	21	2.3	2	Hudson St & Reade St
170	13	6	0.55	2	Hudson St & Reade St
171	13	17	4.38	2	Hudson St & Reade St
172	13	20	2.85	2	Hudson St & Reade St
173	13	14	4.36	2	Hudson St & Reade St
174	13	19	0.99	2	Hudson St & Reade St
175	13	4	0.65	2	Hudson St & Reade St
176	13	22	2.3	2	Hudson St & Reade St
177	13	10	5.99	2	Hudson St & Reade St
178	13	5	0.22	2	Hudson St & Reade St
179	13	23	1.24	2	Hudson St & Reade St
180	13	13	6.32	2	Hudson St & Reade St
181	13	8	2.73	2	Hudson St & Reade St
182	13	16	5.01	2	Hudson St & Reade St
183	13	9	4.9	2	Hudson St & Reade St
184	13	7	1.2	2	Hudson St & Reade St
185	13	2	0	2	Hudson St & Reade St
186	13	15	5.23	2	Hudson St & Reade St
187	13	3	0.65	2	Hudson St & Reade St
188	13	18	2.65	2	Hudson St & Reade St
189	13	11	8.17	2	Hudson St & Reade St
190	13	12	8.83	2	Hudson St & Reade St
191	13	1	0	2	Hudson St & Reade St
192	13	0	0.11	2	Hudson St & Reade St
193	14	17	7.23	2	Greenwich St & Warren St
194	14	9	24.84	2	Greenwich St & Warren St
195	14	22	3.95	2	Greenwich St & Warren St
196	14	21	4.39	2	Greenwich St & Warren St
197	14	20	4.82	2	Greenwich St & Warren St
198	14	13	23.75	2	Greenwich St & Warren St
199	14	23	5.41	2	Greenwich St & Warren St
200	14	10	25.27	2	Greenwich St & Warren St
201	14	14	17.23	2	Greenwich St & Warren St
202	14	18	2.21	2	Greenwich St & Warren St
203	14	2	3.39	2	Greenwich St & Warren St
204	14	6	1.53	2	Greenwich St & Warren St
205	14	5	1.2	2	Greenwich St & Warren St
206	14	1	2.87	2	Greenwich St & Warren St
207	14	7	4.36	2	Greenwich St & Warren St
208	14	4	1.31	2	Greenwich St & Warren St
209	14	8	12.12	2	Greenwich St & Warren St
210	14	16	11.76	2	Greenwich St & Warren St
211	14	0	3.22	2	Greenwich St & Warren St
212	14	11	21.35	2	Greenwich St & Warren St
213	14	15	16.03	2	Greenwich St & Warren St
214	14	19	0.99	2	Greenwich St & Warren St
215	14	3	1.74	2	Greenwich St & Warren St
216	14	12	19.41	2	Greenwich St & Warren St
217	16	18	1.1	2	Cleveland Pl & Spring St
218	16	22	0.33	2	Cleveland Pl & Spring St
219	16	13	7.84	2	Cleveland Pl & Spring St
220	16	11	8.28	2	Cleveland Pl & Spring St
221	16	23	0	2	Cleveland Pl & Spring St
222	16	15	3.38	2	Cleveland Pl & Spring St
223	16	19	0.33	2	Cleveland Pl & Spring St
224	16	14	4.8	2	Cleveland Pl & Spring St
225	16	1	0	2	Cleveland Pl & Spring St
226	16	3	0	2	Cleveland Pl & Spring St
227	16	7	0	2	Cleveland Pl & Spring St
