variable	value	label
163	7	0.54	Henry St & Grand St
164	10	28.98	Henry St & Grand St
165	0	0	Henry St & Grand St
166	13	9.8	Henry St & Grand St
167	15	3.93	Henry St & Grand St
168	23	0	Henry St & Grand St
169	21	2.3	Hudson St & Reade St
170	6	0.55	Hudson St & Reade St
171	17	4.38	Hudson St & Reade St
172	20	2.85	Hudson St & Reade St
173	14	4.36	Hudson St & Reade St
174	19	0.99	Hudson St & Reade St
175	4	0.65	Hudson St & Reade St
176	22	2.3	Hudson St & Reade St
177	10	5.99	Hudson St & Reade St
178	5	0.22	Hudson St & Reade St
179	23	1.24	Hudson St & Reade St
180	13	6.32	Hudson St & Reade St
181	8	2.73	Hudson St & Reade St
182	16	5.01	Hudson St & Reade St
183	9	4.9	Hudson St & Reade St
184	7	1.2	Hudson St & Reade St
185	2	0	Hudson St & Reade St
186	15	5.23	Hudson St & Reade St
187	3	0.65	Hudson St & Reade St
188	18	2.65	Hudson St & Reade St
189	11	8.17	Hudson St & Reade St
190	12	8.83	Hudson St & Reade St
191	1	0	Hudson St & Reade St
192	0	0.11	Hudson St & Reade St
193	17	7.23	Greenwich St & Warren St
194	9	24.84	Greenwich St & Warren St
195	22	3.95	Greenwich St & Warren St
196	21	4.39	Greenwich St & Warren St
197	20	4.82	Greenwich St & Warren St
198	13	23.75	Greenwich St & Warren St
199	23	5.41	Greenwich St & Warren St
200	10	25.27	Greenwich St & Warren St
201	14	17.23	Greenwich St & Warren St
202	18	2.21	Greenwich St & Warren St
203	2	3.39	Greenwich St & Warren St
204	6	1.53	Greenwich St & Warren St
205	5	1.2	Greenwich St & Warren St
206	1	2.87	Greenwich St & Warren St
207	7	4.36	Greenwich St & Warren St
208	4	1.31	Greenwich St & Warren St
209	8	12.12	Greenwich St & Warren St
210	16	11.76	Greenwich St & Warren St
211	0	3.22	Greenwich St & Warren St
212	11	21.35	Greenwich St & Warren St
213	15	16.03	Greenwich St & Warren St
214	19	0.99	Greenwich St & Warren St
215	3	1.74	Greenwich St & Warren St
216	12	19.41	Greenwich St & Warren St
217	10	0.33	E 2 St & Avenue C
218	14	0	E 2 St & Avenue C
219	5	28.54	E 2 St & Avenue C
220	1	39.78	E 2 St & Avenue C
221	9	0.11	E 2 St & Avenue C
222	18	2.98	E 2 St & Avenue C
223	23	39.3	E 2 St & Avenue C
224	12	0.22	E 2 St & Avenue C
