variable	value	label
1480	9	15.25	E 58 St and 3 Ave
1481	4	0	E 58 St and 3 Ave
1482	1	0	E 58 St and 3 Ave
1483	5	0	E 58 St and 3 Ave
1484	0	0	E 58 St and 3 Ave
1485	11	12.53	E 58 St and 3 Ave
1486	19	0	E 58 St and 3 Ave
1487	12	7.31	E 58 St and 3 Ave
1488	8	8.95	E 58 St and 3 Ave
1489	22	3.51	Cliff St & Fulton St
1490	3	2.07	Cliff St & Fulton St
1491	10	12.09	Cliff St & Fulton St
1492	14	7.09	Cliff St & Fulton St
1493	23	5.29	Cliff St & Fulton St
1494	15	5.56	Cliff St & Fulton St
1495	2	1.97	Cliff St & Fulton St
1496	7	1.53	Cliff St & Fulton St
1497	1	3.2	Cliff St & Fulton St
1498	11	14.38	Cliff St & Fulton St
1499	18	0.11	Cliff St & Fulton St
1500	6	1.2	Cliff St & Fulton St
1501	19	0.33	Cliff St & Fulton St
1502	5	1.31	Cliff St & Fulton St
1503	20	1.2	Cliff St & Fulton St
1504	17	0.66	Cliff St & Fulton St
1505	8	4.04	Cliff St & Fulton St
1506	16	2.94	Cliff St & Fulton St
1507	21	2.96	Cliff St & Fulton St
1508	4	1.74	Cliff St & Fulton St
1509	13	10.89	Cliff St & Fulton St
1510	9	6.75	Cliff St & Fulton St
1511	0	3.44	Cliff St & Fulton St
1512	12	12.32	Cliff St & Fulton St
1513	15	0	Canal St & Rutgers St
1514	2	13.66	Canal St & Rutgers St
1515	3	13.83	Canal St & Rutgers St
1516	19	7.68	Canal St & Rutgers St
1517	10	0	Canal St & Rutgers St
1518	18	2.76	Canal St & Rutgers St
1519	14	0	Canal St & Rutgers St
1520	6	6.98	Canal St & Rutgers St
1521	11	0	Canal St & Rutgers St
1522	22	17.11	Canal St & Rutgers St
1523	23	16.33	Canal St & Rutgers St
1524	7	1.74	Canal St & Rutgers St
1525	20	12.27	Canal St & Rutgers St
1526	21	14.91	Canal St & Rutgers St
1527	4	15.9	Canal St & Rutgers St
1528	17	0.11	Canal St & Rutgers St
1529	16	0.11	Canal St & Rutgers St
1530	5	14.71	Canal St & Rutgers St
1531	9	0.11	Canal St & Rutgers St
1532	12	0	Canal St & Rutgers St
1533	1	23.76	Canal St & Rutgers St
1534	0	14.67	Canal St & Rutgers St
1535	8	0.44	Canal St & Rutgers St
1536	13	0.22	Canal St & Rutgers St
1537	10	0.22	St James Pl & Oliver St
1538	3	7.84	St James Pl & Oliver St
1539	22	5.48	St James Pl & Oliver St
1540	23	9.01	St James Pl & Oliver St
1541	14	0.98	St James Pl & Oliver St
1542	6	4.03	St James Pl & Oliver St
1543	20	4.71	St James Pl & Oliver St
1544	15	2.4	St James Pl & Oliver St
1545	2	8.42	St James Pl & Oliver St
1546	7	2.83	St James Pl & Oliver St
1547	18	2.76	St James Pl & Oliver St
1548	9	0.22	St James Pl & Oliver St
1549	19	2.19	St James Pl & Oliver St
1550	8	0.11	St James Pl & Oliver St
1551	5	6.54	St James Pl & Oliver St
1552	0	9.56	St James Pl & Oliver St
1553	4	7.95	St James Pl & Oliver St
1554	21	2.41	St James Pl & Oliver St
1555	16	0.76	St James Pl & Oliver St
1556	17	0.88	St James Pl & Oliver St
1557	11	1.42	St James Pl & Oliver St
1558	12	2.4	St James Pl & Oliver St
1559	1	11.05	St James Pl & Oliver St
1560	13	1.09	St James Pl & Oliver St
1561	10	22.98	Murray St & West St
1562	14	6.54	Murray St & West St
1563	15	5.02	Murray St & West St
1564	7	7.3	Murray St & West St
1565	6	3.38	Murray St & West St
1566	22	2.63	Murray St & West St
1567	23	3.6	Murray St & West St
1568	2	1.53	Murray St & West St
1569	16	2.94	Murray St & West St
1570	3	1.31	Murray St & West St
1571	11	21.24	Murray St & West St
1572	19	0.22	Murray St & West St
1573	17	0.77	Murray St & West St
1574	18	0.33	Murray St & West St
1575	20	3.83	Murray St & West St
1576	4	1.31	Murray St & West St
1577	12	11.78	Murray St & West St
1578	0	2.44	Murray St & West St
1579	5	1.31	Murray St & West St
1580	21	3.4	Murray St & West St
1581	8	11.9	Murray St & West St
1582	1	2.21	Murray St & West St
1583	9	25.93	Murray St & West St
1584	13	13.73	Murray St & West St
1585	14	0	Norfolk St & Broome St
1586	10	0.65	Norfolk St & Broome St
1587	2	12.13	Norfolk St & Broome St
1588	3	12.53	Norfolk St & Broome St
1589	15	0.22	Norfolk St & Broome St
1590	23	11.49	Norfolk St & Broome St
1591	12	0.65	Norfolk St & Broome St
1592	6	11.56	Norfolk St & Broome St
1593	20	2.52	Norfolk St & Broome St
1594	4	12.31	Norfolk St & Broome St
1595	19	1.43	Norfolk St & Broome St
1596	7	4.47	Norfolk St & Broome St
1597	18	0.22	Norfolk St & Broome St
1598	11	0.65	Norfolk St & Broome St
1599	8	1.97	Norfolk St & Broome St
1600	13	0.22	Norfolk St & Broome St
1601	5	11.98	Norfolk St & Broome St
1602	22	10.31	Norfolk St & Broome St
1603	21	4.28	Norfolk St & Broome St
1604	16	0	Norfolk St & Broome St
1605	9	0.22	Norfolk St & Broome St
1606	17	0	Norfolk St & Broome St
1607	0	11.78	Norfolk St & Broome St
1608	1	14.14	Norfolk St & Broome St
1609	10	18.41	Allen St & E Houston St
1610	22	31.25	Allen St & E Houston St
1611	4	20.15	Allen St & E Houston St
1612	3	21.02	Allen St & E Houston St
1613	15	18.76	Allen St & E Houston St
1614	23	28.27	Allen St & E Houston St
1615	14	19.19	Allen St & E Houston St
1616	20	40.31	Allen St & E Houston St
1617	8	18.45	Allen St & E Houston St
1618	7	18.74	Allen St & E Houston St
1619	16	18.3	Allen St & E Houston St
1620	6	19.96	Allen St & E Houston St
1621	11	18.3	Allen St & E Houston St
1622	2	24.15	Allen St & E Houston St
1623	17	18.73	Allen St & E Houston St
1624	5	18.52	Allen St & E Houston St
1625	21	35.86	Allen St & E Houston St
1626	19	39.04	Allen St & E Houston St
1627	12	18.54	Allen St & E Houston St
1628	0	25.33	Allen St & E Houston St
1629	18	22.05	Allen St & E Houston St
1630	13	18.95	Allen St & E Houston St
1631	1	25.75	Allen St & E Houston St
1632	9	18.85	Allen St & E Houston St
1633	7	0	South St & Gouverneur Ln
1634	3	0	South St & Gouverneur Ln
1635	15	15.92	South St & Gouverneur Ln
1636	2	0	South St & Gouverneur Ln
1637	6	0	South St & Gouverneur Ln
1638	18	0.77	South St & Gouverneur Ln
1639	14	16.47	South St & Gouverneur Ln
1640	23	0	South St & Gouverneur Ln
1641	16	10.78	South St & Gouverneur Ln
1642	17	1.86	South St & Gouverneur Ln
1643	21	0	South St & Gouverneur Ln
1644	8	0.66	South St & Gouverneur Ln
1645	4	0	South St & Gouverneur Ln
1646	0	0.22	South St & Gouverneur Ln
1647	20	0.55	South St & Gouverneur Ln
1648	11	22.88	South St & Gouverneur Ln
1649	19	0.66	South St & Gouverneur Ln
1650	1	0.22	South St & Gouverneur Ln
1651	5	0	South St & Gouverneur Ln
1652	22	0	South St & Gouverneur Ln
1653	10	28.65	South St & Gouverneur Ln
1654	12	18.54	South St & Gouverneur Ln
1655	9	15.8	South St & Gouverneur Ln
1656	13	16.01	South St & Gouverneur Ln
1657	7	0	Fulton St & William St
1658	3	0	Fulton St & William St
1659	12	3.71	Fulton St & William St
1660	1	0	Fulton St & William St
1661	8	0.11	Fulton St & William St
1662	11	5.12	Fulton St & William St
1663	23	0	Fulton St & William St
1664	16	0.76	Fulton St & William St
1665	18	0	Fulton St & William St
1666	22	0	Fulton St & William St
1667	10	3.38	Fulton St & William St
1668	15	3.71	Fulton St & William St
1669	9	1.96	Fulton St & William St
1670	5	0	Fulton St & William St
1671	17	0.11	Fulton St & William St
1672	19	0	Fulton St & William St
1673	0	0	Fulton St & William St
1674	20	0	Fulton St & William St
1675	21	0	Fulton St & William St
1676	6	0	Fulton St & William St
1677	4	0	Fulton St & William St
1678	14	3.6	Fulton St & William St
1679	13	2.83	Fulton St & William St
1680	2	0	Fulton St & William St
1681	12	0	E 6 St & Avenue B
1682	11	0	E 6 St & Avenue B
1683	18	26.13	E 6 St & Avenue B
1684	1	48.62	E 6 St & Avenue B
1685	9	0	E 6 St & Avenue B
1686	10	0	E 6 St & Avenue B
1687	0	47.11	E 6 St & Avenue B
1688	20	39.87	E 6 St & Avenue B
1689	16	0	E 6 St & Avenue B
1690	5	20.92	E 6 St & Avenue B
1691	23	38.51	E 6 St & Avenue B
1692	15	0	E 6 St & Avenue B
1693	22	36.18	E 6 St & Avenue B
1694	19	44.41	E 6 St & Avenue B
1695	6	4.47	E 6 St & Avenue B
1696	2	51.48	E 6 St & Avenue B
1697	21	40.13	E 6 St & Avenue B
1698	13	0	E 6 St & Avenue B
1699	4	36.49	E 6 St & Avenue B
1700	7	0.65	E 6 St & Avenue B
1701	17	2.41	E 6 St & Avenue B
1702	14	0	E 6 St & Avenue B
1703	8	0	E 6 St & Avenue B
1704	3	52.4	E 6 St & Avenue B
1705	13	5.34	Park Pl & Church St
1706	9	6.1	Park Pl & Church St
1707	21	0	Park Pl & Church St
1708	1	1.33	Park Pl & Church St
1709	10	8.28	Park Pl & Church St
1710	8	1.42	Park Pl & Church St
1711	6	0.98	Park Pl & Church St
1712	17	0.11	Park Pl & Church St
1713	2	1.31	Park Pl & Church St
1714	11	5.23	Park Pl & Church St
1715	5	1.31	Park Pl & Church St
1716	0	0.67	Park Pl & Church St
1717	4	1.31	Park Pl & Church St
1718	18	0.11	Park Pl & Church St
1719	12	5.23	Park Pl & Church St
1720	23	0.9	Park Pl & Church St
1721	22	0.77	Park Pl & Church St
1722	20	0	Park Pl & Church St
1723	3	1.31	Park Pl & Church St
1724	7	0.87	Park Pl & Church St
1725	16	1.53	Park Pl & Church St
1726	19	0	Park Pl & Church St
1727	14	4.36	Park Pl & Church St
1728	15	2.84	Park Pl & Church St
1729	1	0	Church St & Leonard St
1730	2	0	Church St & Leonard St
1731	10	8.71	Church St & Leonard St
1732	18	0.33	Church St & Leonard St
1733	21	0	Church St & Leonard St
1734	17	1.64	Church St & Leonard St
1735	4	0	Church St & Leonard St
1736	9	3.92	Church St & Leonard St
1737	13	4.68	Church St & Leonard St
1738	5	0	Church St & Leonard St
1739	16	1.2	Church St & Leonard St
1740	6	0	Church St & Leonard St
1741	3	0	Church St & Leonard St
1742	22	0	Church St & Leonard St
1743	23	0	Church St & Leonard St
1744	20	0	Church St & Leonard St
1745	14	3.05	Church St & Leonard St
1746	7	0	Church St & Leonard St
1747	12	6.32	Church St & Leonard St
1748	19	0.22	Church St & Leonard St
1749	11	7.52	Church St & Leonard St
1750	15	1.53	Church St & Leonard St
1751	8	0	Church St & Leonard St
1752	0	0	Church St & Leonard St
1753	1	3.43	E 19 St & 3 Ave
1754	21	3.62	E 19 St & 3 Ave
1755	22	4.5	E 19 St & 3 Ave
1756	6	2.51	E 19 St & 3 Ave
1757	17	0	E 19 St & 3 Ave
1758	9	0	E 19 St & 3 Ave
1759	18	0.88	E 19 St & 3 Ave
1760	3	5.12	E 19 St & 3 Ave
1761	13	0	E 19 St & 3 Ave
1762	19	3.29	E 19 St & 3 Ave
1763	5	4.36	E 19 St & 3 Ave
1764	15	0	E 19 St & 3 Ave
1765	23	3.27	E 19 St & 3 Ave
1766	14	0	E 19 St & 3 Ave
1767	2	5.03	E 19 St & 3 Ave
1768	0	2.44	E 19 St & 3 Ave
1769	7	0	E 19 St & 3 Ave
1770	16	0	E 19 St & 3 Ave
1771	4	5.01	E 19 St & 3 Ave
1772	10	0	E 19 St & 3 Ave
1773	11	0	E 19 St & 3 Ave
1774	12	0	E 19 St & 3 Ave
1775	20	3.83	E 19 St & 3 Ave
1776	8	0	E 19 St & 3 Ave
1777	21	31.69	E 11 St & 1 Ave
1778	1	25.86	E 11 St & 1 Ave
1779	23	22.86	E 11 St & 1 Ave
1780	9	0	E 11 St & 1 Ave
1781	18	13.67	E 11 St & 1 Ave
1782	13	0	E 11 St & 1 Ave
1783	22	23.57	E 11 St & 1 Ave
1784	17	0.77	E 11 St & 1 Ave
1785	5	7.84	E 11 St & 1 Ave
1786	15	0	E 11 St & 1 Ave
1787	3	22.33	E 11 St & 1 Ave
1788	14	0	E 11 St & 1 Ave
1789	2	23.39	E 11 St & 1 Ave
1790	10	0	E 11 St & 1 Ave
1791	0	20.56	E 11 St & 1 Ave
1792	16	0.11	E 11 St & 1 Ave
1793	4	21.68	E 11 St & 1 Ave
1794	20	32.97	E 11 St & 1 Ave
1795	11	0	E 11 St & 1 Ave
1796	7	0.87	E 11 St & 1 Ave
1797	6	4.25	E 11 St & 1 Ave
1798	19	33	E 11 St & 1 Ave
1799	8	0	E 11 St & 1 Ave
1800	12	0	E 11 St & 1 Ave
1801	18	0	Vesey Pl & River Terrace
1802	17	0.55	Vesey Pl & River Terrace
1803	9	14.16	Vesey Pl & River Terrace
1804	5	1.96	Vesey Pl & River Terrace
1805	1	2.76	Vesey Pl & River Terrace
1806	21	2.08	Vesey Pl & River Terrace
1807	2	2.62	Vesey Pl & River Terrace
1808	10	12.2	Vesey Pl & River Terrace
1809	3	2.61	Vesey Pl & River Terrace
1810	22	1.86	Vesey Pl & River Terrace
1811	14	3.71	Vesey Pl & River Terrace
1812	4	2.29	Vesey Pl & River Terrace
1813	15	2.94	Vesey Pl & River Terrace
1814	13	5.99	Vesey Pl & River Terrace
1815	23	2.59	Vesey Pl & River Terrace
1816	19	0.22	Vesey Pl & River Terrace
1817	11	8.82	Vesey Pl & River Terrace
1818	7	3.7	Vesey Pl & River Terrace
1819	12	4.69	Vesey Pl & River Terrace
1820	6	2.51	Vesey Pl & River Terrace
1821	20	2.41	Vesey Pl & River Terrace
1822	0	2.89	Vesey Pl & River Terrace
1823	16	2.72	Vesey Pl & River Terrace
1824	8	10.04	Vesey Pl & River Terrace
1825	1	14.7	Watts St & Greenwich St
1826	17	15.55	Watts St & Greenwich St
1827	18	13.1	Watts St & Greenwich St
1828	21	16.23	Watts St & Greenwich St
1829	14	21.3	Watts St & Greenwich St
1830	2	14.75	Watts St & Greenwich St
1831	9	26.8	Watts St & Greenwich St
1832	13	20.72	Watts St & Greenwich St
1833	23	17.34	Watts St & Greenwich St
1834	19	13.91	Watts St & Greenwich St
1835	10	28.54	Watts St & Greenwich St
1836	15	20.2	Watts St & Greenwich St
1837	22	16.45	Watts St & Greenwich St
1838	6	15.27	Watts St & Greenwich St
1839	4	14.81	Watts St & Greenwich St
1840	5	14.49	Watts St & Greenwich St
1841	3	15.03	Watts St & Greenwich St
1842	16	20.61	Watts St & Greenwich St
1843	12	19.54	Watts St & Greenwich St
1844	0	16.11	Watts St & Greenwich St
1845	8	21.29	Watts St & Greenwich St
1846	7	16.12	Watts St & Greenwich St
1847	11	24.29	Watts St & Greenwich St
1848	20	16.54	Watts St & Greenwich St
1849	21	1.78	Greenwich St & N Moore St
1850	9	30.68	Greenwich St & N Moore St
1851	1	0.77	Greenwich St & N Moore St
1852	23	0.78	Greenwich St & N Moore St
1853	2	0.76	Greenwich St & N Moore St
1854	18	0	Greenwich St & N Moore St
1855	22	0.76	Greenwich St & N Moore St
1856	14	1.64	Greenwich St & N Moore St
1857	17	0	Greenwich St & N Moore St
1858	5	0.76	Greenwich St & N Moore St
1859	13	1.52	Greenwich St & N Moore St
1860	16	0.76	Greenwich St & N Moore St
1861	4	0.76	Greenwich St & N Moore St
1862	10	29.8	Greenwich St & N Moore St
1863	3	0.76	Greenwich St & N Moore St
1864	7	25.25	Greenwich St & N Moore St
1865	19	0	Greenwich St & N Moore St
1866	20	1.53	Greenwich St & N Moore St
1867	15	1.39	Greenwich St & N Moore St
1868	0	0.78	Greenwich St & N Moore St
1869	6	2.4	Greenwich St & N Moore St
1870	11	9.34	Greenwich St & N Moore St
1871	12	1.77	Greenwich St & N Moore St
1872	8	19.34	Greenwich St & N Moore St
1873	21	0	Reade St & Broadway
1874	18	0	Reade St & Broadway
1875	23	0	Reade St & Broadway
1876	9	4.47	Reade St & Broadway
1877	3	0.65	Reade St & Broadway
1878	22	0	Reade St & Broadway
1879	17	0.22	Reade St & Broadway
1880	2	0.33	Reade St & Broadway
1881	15	5.23	Reade St & Broadway
1882	13	3.49	Reade St & Broadway
1883	14	4.58	Reade St & Broadway
1884	19	0	Reade St & Broadway
1885	5	0.65	Reade St & Broadway
1886	7	0	Reade St & Broadway
1887	16	2.51	Reade St & Broadway
1888	6	0.44	Reade St & Broadway
1889	10	5.45	Reade St & Broadway
1890	0	0	Reade St & Broadway
1891	12	4.8	Reade St & Broadway
1892	1	0	Reade St & Broadway
1893	20	0	Reade St & Broadway
1894	11	7.08	Reade St & Broadway
1895	4	0.65	Reade St & Broadway
1896	8	0.66	Reade St & Broadway
1897	18	0.44	Pike St & Monroe St
1898	21	3.07	Pike St & Monroe St
1899	9	0	Pike St & Monroe St
1900	7	8.06	Pike St & Monroe St
1901	14	0	Pike St & Monroe St
1902	10	0	Pike St & Monroe St
1903	11	0	Pike St & Monroe St
1904	3	21.9	Pike St & Monroe St
1905	22	7.79	Pike St & Monroe St
1906	17	0.11	Pike St & Monroe St
1907	8	1.2	Pike St & Monroe St
1908	5	12.09	Pike St & Monroe St
1909	13	0	Pike St & Monroe St
1910	6	10.36	Pike St & Monroe St
1911	19	0.88	Pike St & Monroe St
1912	20	1.42	Pike St & Monroe St
1913	12	0	Pike St & Monroe St
1914	23	14.86	Pike St & Monroe St
1915	16	0	Pike St & Monroe St
1916	4	14.92	Pike St & Monroe St
1917	15	0.11	Pike St & Monroe St
1918	1	20.88	Pike St & Monroe St
1919	2	22.08	Pike St & Monroe St
1920	0	19.11	Pike St & Monroe St
1921	7	1.2	Cherry St
1922	22	28.4	Cherry St
1923	5	23.09	Cherry St
1924	18	7.28	Cherry St
1925	6	12.76	Cherry St
1926	8	0	Cherry St
1927	17	0.44	Cherry St
1928	20	23	Cherry St
1929	19	22.59	Cherry St
1930	11	0	Cherry St
1931	15	0.11	Cherry St
1932	23	33	Cherry St
1933	3	39.43	Cherry St
1934	14	0	Cherry St
1935	10	0	Cherry St
1936	13	0	Cherry St
1937	9	0	Cherry St
1938	21	25.44	Cherry St
1939	1	39.34	Cherry St
1940	12	0	Cherry St
1941	16	0	Cherry St
1942	0	38	Cherry St
1943	2	40.11	Cherry St
1944	4	33.88	Cherry St
1945	4	1.42	W 20 St & 7 Ave
1946	8	0.33	W 20 St & 7 Ave
1947	0	2.44	W 20 St & 7 Ave
1948	6	0.76	W 20 St & 7 Ave
1949	19	0.55	W 20 St & 7 Ave
1950	7	0.22	W 20 St & 7 Ave
1951	20	1.97	W 20 St & 7 Ave
1952	21	1.75	W 20 St & 7 Ave
1953	10	1.74	W 20 St & 7 Ave
1954	13	3.38	W 20 St & 7 Ave
1955	5	1.31	W 20 St & 7 Ave
1956	16	3.7	W 20 St & 7 Ave
1957	17	5.59	W 20 St & 7 Ave
1958	22	1.97	W 20 St & 7 Ave
1959	12	4.14	W 20 St & 7 Ave
1960	23	1.91	W 20 St & 7 Ave
1961	15	1.31	W 20 St & 7 Ave
1962	1	1.99	W 20 St & 7 Ave
1963	11	2.72	W 20 St & 7 Ave
1964	14	1.85	W 20 St & 7 Ave
1965	9	1.2	W 20 St & 7 Ave
1966	18	2.65	W 20 St & 7 Ave
1967	2	1.86	W 20 St & 7 Ave
1968	3	1.31	W 20 St & 7 Ave
1969	17	0.11	Washington Pl & Broadway
1970	16	1.31	Washington Pl & Broadway
1971	5	0	Washington Pl & Broadway
1972	20	0	Washington Pl & Broadway
1973	8	2.84	Washington Pl & Broadway
1974	12	12.98	Washington Pl & Broadway
1975	19	0.11	Washington Pl & Broadway
1976	9	23.2	Washington Pl & Broadway
1977	4	0	Washington Pl & Broadway
1978	23	0	Washington Pl & Broadway
1979	21	0	Washington Pl & Broadway
1980	0	0	Washington Pl & Broadway
1981	18	0.11	Washington Pl & Broadway
1982	22	0	Washington Pl & Broadway
1983	6	0.11	Washington Pl & Broadway
1984	3	0	Washington Pl & Broadway
1985	1	0	Washington Pl & Broadway
1986	13	15.58	Washington Pl & Broadway
1987	14	13.3	Washington Pl & Broadway
1988	10	25.38	Washington Pl & Broadway
1989	7	0.11	Washington Pl & Broadway
1990	2	0	Washington Pl & Broadway
1991	15	6.54	Washington Pl & Broadway
1992	11	23.75	Washington Pl & Broadway
1993	20	12.27	Sullivan St & Washington Sq
1994	1	2.87	Sullivan St & Washington Sq
1995	21	9.76	Sullivan St & Washington Sq
1996	7	0	Sullivan St & Washington Sq
1997	8	0	Sullivan St & Washington Sq
1998	12	6.76	Sullivan St & Washington Sq
1999	9	1.74	Sullivan St & Washington Sq
2000	0	2.22	Sullivan St & Washington Sq
2001	14	11.23	Sullivan St & Washington Sq
2002	17	5.15	Sullivan St & Washington Sq
2003	16	4.36	Sullivan St & Washington Sq
2004	18	13.12	Sullivan St & Washington Sq
2005	4	1.09	Sullivan St & Washington Sq
2006	6	0	Sullivan St & Washington Sq
2007	10	4.68	Sullivan St & Washington Sq
2008	5	1.09	Sullivan St & Washington Sq
2009	23	2.82	Sullivan St & Washington Sq
2010	13	7.52	Sullivan St & Washington Sq
2011	2	1.09	Sullivan St & Washington Sq
2012	11	8.06	Sullivan St & Washington Sq
2013	15	7.52	Sullivan St & Washington Sq
2014	22	5.81	Sullivan St & Washington Sq
2015	19	16.01	Sullivan St & Washington Sq
2016	3	0.65	Sullivan St & Washington Sq
2017	9	23.53	Old Slip & Front St
2018	5	0	Old Slip & Front St
2019	8	1.64	Old Slip & Front St
2020	12	14.5	Old Slip & Front St
2021	16	3.27	Old Slip & Front St
2022	20	0.11	Old Slip & Front St
2023	22	0.11	Old Slip & Front St
2024	21	0	Old Slip & Front St
2025	17	0.22	Old Slip & Front St
2026	7	0.65	Old Slip & Front St
2027	1	0	Old Slip & Front St
2028	4	0	Old Slip & Front St
2029	19	0	Old Slip & Front St
2030	2	0	Old Slip & Front St
2031	0	0	Old Slip & Front St
2032	23	0	Old Slip & Front St
2033	14	20.72	Old Slip & Front St
2034	6	0	Old Slip & Front St
2035	18	0	Old Slip & Front St
2036	15	12.98	Old Slip & Front St
2037	13	15.03	Old Slip & Front St
2038	10	43.79	Old Slip & Front St
2039	11	30.17	Old Slip & Front St
2040	3	0	Old Slip & Front St
2041	17	0.66	Avenue D & E 12 St
2042	12	0.44	Avenue D & E 12 St
2043	2	28.63	Avenue D & E 12 St
2044	18	1.65	Avenue D & E 12 St
2045	20	14.46	Avenue D & E 12 St
2046	8	1.42	Avenue D & E 12 St
2047	21	23.14	Avenue D & E 12 St
2048	9	0	Avenue D & E 12 St
2049	7	14.81	Avenue D & E 12 St
2050	23	28.15	Avenue D & E 12 St
2051	4	31.37	Avenue D & E 12 St
2052	16	0.22	Avenue D & E 12 St
2053	15	0.33	Avenue D & E 12 St
2054	1	29.83	Avenue D & E 12 St
2055	22	27.19	Avenue D & E 12 St
2056	14	0.44	Avenue D & E 12 St
2057	5	29.63	Avenue D & E 12 St
2058	0	27.78	Avenue D & E 12 St
2059	11	0	Avenue D & E 12 St
2060	13	0.11	Avenue D & E 12 St
2061	19	5.26	Avenue D & E 12 St
2062	3	30.39	Avenue D & E 12 St
2063	6	26.83	Avenue D & E 12 St
2064	10	0	Avenue D & E 12 St
2065	20	5.7	Madison St & Clinton St
2066	21	13.6	Madison St & Clinton St
2067	7	0.33	Madison St & Clinton St
2068	8	0.76	Madison St & Clinton St
2069	12	0	Madison St & Clinton St
2070	17	0.22	Madison St & Clinton St
2071	9	0.44	Madison St & Clinton St
2072	0	37.33	Madison St & Clinton St
2073	14	0.11	Madison St & Clinton St
2074	6	0.22	Madison St & Clinton St
2075	16	0	Madison St & Clinton St
2076	18	0.55	Madison St & Clinton St
2077	4	37.91	Madison St & Clinton St
2078	13	0	Madison St & Clinton St
2079	10	0	Madison St & Clinton St
2080	5	6.32	Madison St & Clinton St
2081	1	41.88	Madison St & Clinton St
2082	23	32.21	Madison St & Clinton St
2083	2	45.03	Madison St & Clinton St
2084	11	0	Madison St & Clinton St
2085	15	0	Madison St & Clinton St
2086	22	23.36	Madison St & Clinton St
2087	19	5.04	Madison St & Clinton St
2088	3	43.36	Madison St & Clinton St
2089	8	4.91	Stanton St & Mangin St
2090	16	0	Stanton St & Mangin St
2091	22	20.83	Stanton St & Mangin St
2092	12	0.65	Stanton St & Mangin St
2093	17	0.55	Stanton St & Mangin St
2094	20	23.88	Stanton St & Mangin St
2095	1	34.14	Stanton St & Mangin St
2096	21	19.3	Stanton St & Mangin St
2097	19	13.6	Stanton St & Mangin St
2098	9	4.25	Stanton St & Mangin St
2099	7	11.87	Stanton St & Mangin St
2100	4	37.91	Stanton St & Mangin St
2101	14	0.44	Stanton St & Mangin St
2102	2	38.25	Stanton St & Mangin St
2103	18	4.63	Stanton St & Mangin St
2104	0	31.11	Stanton St & Mangin St
2105	13	0.65	Stanton St & Mangin St
2106	6	29.77	Stanton St & Mangin St
2107	5	32.57	Stanton St & Mangin St
2108	15	0	Stanton St & Mangin St
2109	23	29.28	Stanton St & Mangin St
2110	10	1.09	Stanton St & Mangin St
2111	11	0.65	Stanton St & Mangin St
2112	3	39.22	Stanton St & Mangin St
2113	20	17.74	Columbia St & Rivington St
2114	4	36.06	Columbia St & Rivington St
2115	12	0	Columbia St & Rivington St
2116	18	2.87	Columbia St & Rivington St
2117	8	0	Columbia St & Rivington St
2118	23	35.25	Columbia St & Rivington St
2119	21	30.48	Columbia St & Rivington St
2120	9	0	Columbia St & Rivington St
2121	15	0.44	Columbia St & Rivington St
2122	1	38.45	Columbia St & Rivington St
2123	13	0.44	Columbia St & Rivington St
2124	17	0.88	Columbia St & Rivington St
2125	5	20.04	Columbia St & Rivington St
2126	7	0.33	Columbia St & Rivington St
2127	22	34.32	Columbia St & Rivington St
2128	14	0.11	Columbia St & Rivington St
2129	16	0.11	Columbia St & Rivington St
2130	3	41.07	Columbia St & Rivington St
2131	0	38	Columbia St & Rivington St
2132	2	41.2	Columbia St & Rivington St
2133	10	0	Columbia St & Rivington St
2134	11	0.22	Columbia St & Rivington St
2135	19	10.09	Columbia St & Rivington St
2136	6	6.87	Columbia St & Rivington St
2137	4	0	W 13 St & 6 Ave
2138	9	0	W 13 St & 6 Ave
2139	21	0.22	W 13 St & 6 Ave
2140	7	0.44	W 13 St & 6 Ave
2141	20	0.88	W 13 St & 6 Ave
2142	8	0	W 13 St & 6 Ave
2143	17	1.86	W 13 St & 6 Ave
2144	18	2.87	W 13 St & 6 Ave
2145	13	0.22	W 13 St & 6 Ave
2146	14	0.87	W 13 St & 6 Ave
2147	10	0.22	W 13 St & 6 Ave
2148	5	0	W 13 St & 6 Ave
2149	1	0	W 13 St & 6 Ave
2150	23	0.34	W 13 St & 6 Ave
2151	2	0	W 13 St & 6 Ave
2152	16	0.22	W 13 St & 6 Ave
2153	0	0	W 13 St & 6 Ave
2154	22	0.22	W 13 St & 6 Ave
2155	12	0.87	W 13 St & 6 Ave
2156	11	0.54	W 13 St & 6 Ave
2157	15	0.22	W 13 St & 6 Ave
2158	3	0	W 13 St & 6 Ave
2159	6	0	W 13 St & 6 Ave
2160	19	3.73	W 13 St & 6 Ave
2161	22	26.64	Bank St & Hudson St
2162	17	2.63	Bank St & Hudson St
2163	5	3.38	Bank St & Hudson St
2164	18	19.85	Bank St & Hudson St
2165	4	5.77	Bank St & Hudson St
2166	10	0	Bank St & Hudson St
2167	12	0	Bank St & Hudson St
2168	9	0.44	Bank St & Hudson St
2169	7	0.33	Bank St & Hudson St
2170	16	1.2	Bank St & Hudson St
2171	11	0.22	Bank St & Hudson St
2172	15	0.11	Bank St & Hudson St
2173	6	0	Bank St & Hudson St
2174	2	9.07	Bank St & Hudson St
2175	14	0.33	Bank St & Hudson St
2176	0	17.89	Bank St & Hudson St
2177	13	0.54	Bank St & Hudson St
